type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text
Rally,,Bonnet,*,,MI Top,0.5,0.125,1,0,100,,,,,,,,,,,,,,,,
Rally,,Bonnet,*,,MI Bottom,0.5,0.875,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Bonnet,*,,MI Top,0.5,0.125,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Bonnet,*,,MI Bottom,0.5,0.875,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Rear Windscreen,*,,MI Left Bottom,0.25,0.5,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Rear Windscreen,*,,MI Left Bottom,0.25,0.75,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Windscreen,*,,MI Top Left,0.75,0.5,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Bonnet,*,,MI Right,0.25,0.5,,45,110,,,,,,,,,,,,,380,,,
Standard Road Car,,Windscreen,*,,MI Top Left,0.75,0.5,,0,100,,,,,,,,,,,,,125,,,
Standard Road Car,,Bonnet,*,,MI Right,0.25,0.5,,45,110,,,,,,,,,,,,,320,,,
Rally,,Windscreen,*,,MI Top Left,0.75,0.5,,0,100,,,,,,,,,,,,,125,,,
Rally,,Bonnet,*,,MI Right,0.25,0.5,,45,110,,,,,,,,,,,,,350,,,
Rally,,Bonnet,*,,FIA Number,0.675,0.67,,-35,100,,,,,,,,,,,,,400,,,
Rally,,Bonnet,*,,FIA Text,0.75,0.75,,-35,110,,,,,,,,,,,,,125,,,
Rally,,Left Door Number Plate,*,,FIA Number,0.35,0.32,,0,100,,,,,,,,,,,,,370,,,
Rally,,Left Door Number Plate,*,,FIA Text,0.37,0.23,,0,110,,,,,,,,,,,,,125,,,
Rally,,Right Door Number Plate,*,,FIA Number,0.65,0.32,,0,100,,,,,,,,,,,,,370,,,
Rally,,Right Door Number Plate,*,,FIA Text,0.63,0.23,,0,110,,,,,,,,,,,,,125,,,
Rally,,Left Rear Window,*,,FIA Flag No1,0.125,0.6,1,0,100,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,FIA Flag No2,0.125,0.8,1,0,110,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,FIA Driver,0.38,0.6,,0,120,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,FIA Co Driver,0.38,0.8,,0,130,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,FIA Number,0.87,0.5,,0,140,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,FIA Flag No1,0.875,0.6,1,0,100,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,FIA Flag No2,0.875,0.8,1,0,110,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,FIA Driver,0.62,0.6,,0,120,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,FIA Co Driver,0.62,0.8,,0,130,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,FIA Number,0.13,0.5,,0,140,,,,,,,,,,,,,65,,,
Rally,,Rear Windscreen,*,,FIA Text,0.6,0.5,,0,100,,,,,,,,,,,,,65,,,
Rally,,Rear Windscreen,*,,FIA Number,0.875,0.5,,0,110,,,,,,,,,,,,,100,,,
Rally,,Roof,*,,FIA Text,0.5,0.31,,180,100,,,,,,,,,,,,,100,,,
Rally,,Roof,*,,FIA Number,0.5,0.44,,180,110,,,,,,,,,,,,,500,,,
Standard Road Car,,Bonnet,*,,FIA Number,0.7,0.6,,-35,100,,,,,,,,,,,,,320,,,
Standard Road Car,,Bonnet,*,,FIA Text,0.75,0.75,,-35,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Left Door Number Plate,*,,FIA Number,0.3,0.33,,0,100,,,,,,,,,,,,,320,,,
Standard Road Car,,Left Door Number Plate,*,,FIA Text,0.47,0.33,,0,110,,,,,,,,,,,,,85,,,
Standard Road Car,,Right Door Number Plate,*,,FIA Number,0.7,0.33,,0,100,,,,,,,,,,,,,320,,,
Standard Road Car,,Right Door Number Plate,*,,FIA Text,0.53,0.33,,0,110,,,,,,,,,,,,,85,,,
Standard Road Car,,Left Rear Window,*,,FIA Flag No1,0.125,0.6,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,FIA Flag No2,0.125,0.8,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,FIA Driver,0.38,0.6,,0,120,,,,,,,,,,,,,65,,,
Standard Road Car,,Left Rear Window,*,,FIA Co Driver,0.38,0.8,,0,130,,,,,,,,,,,,,65,,,
Standard Road Car,,Left Rear Window,*,,FIA Number,0.87,0.5,,0,140,,,,,,,,,,,,,85,,,
Standard Road Car,,Right Rear Window,*,,FIA Flag No1,0.875,0.6,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,FIA Flag No2,0.875,0.8,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,FIA Driver,0.62,0.6,,0,120,,,,,,,,,,,,,65,,,
Standard Road Car,,Right Rear Window,*,,FIA Co Driver,0.62,0.8,,0,130,,,,,,,,,,,,,65,,,
Standard Road Car,,Right Rear Window,*,,FIA Number,0.13,0.5,,0,140,,,,,,,,,,,,,85,,,
Standard Road Car,,Rear Windscreen,*,,FIA Text,0.625,0.5,,0,100,,,,,,,,,,,,,80,,,
Standard Road Car,,Rear Windscreen,*,,FIA Number,0.875,0.5,,0,110,,,,,,,,,,,,,100,,,
Standard Road Car,,Roof,*,,FIA Text,0.5,0.31,,180,100,,,,,,,,,,,,,125,,,
Standard Road Car,,Roof,*,,FIA Number,0.5,0.44,,180,110,,,,,,,,,,,,,450,,,
Sports Car,,Left Rear Window,*,,FIA Flag No1,0.125,0.6,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,,FIA Flag No2,0.125,0.8,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,,FIA Driver,0.38,0.6,,0,120,,,,,,,,,,,,,65,,,
Sports Car,,Left Rear Window,*,,FIA Co Driver,0.38,0.8,,0,130,,,,,,,,,,,,,65,,,
Sports Car,,Right Rear Window,*,,FIA Flag No1,0.875,0.6,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,,FIA Flag No2,0.875,0.8,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,,FIA Driver,0.62,0.6,,0,120,,,,,,,,,,,,,65,,,
