type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Aussie Racing Car,,Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Windscreen,*,User Number,,0.113,0.356,,0,5,Black,,,,,,,,,,1,left,265,Bold Italic 02,1,,,,
Aussie Racing Car,,Left Door Number Plate,*,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Left Door Number Plate,*,Designer Added Icon 1,,-0.103,0.425,0.5,0,2,,7115,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Right Door Number Plate,*,User Name,,0.505,0.903,,0,9,Black,,,,,,,,,,1,left,55,Bold 16,1,,,,
Aussie Racing Car,,Right Door Number Plate,*,User Number,,0.497,0.423,,0,5,Black,,Red,,,,10,,,,1,left,225,Bold Italic 02,1,,,,
Aussie Racing Car,,Right Door Number Plate,*,User Flag,,0.143,0.904,1,0,8,,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Right Door Number Plate,*,Corporate Logo,,0.859,0.909,1,0,10,,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Right Door Number Plate,*,Designer Added Icon 1,,0.49,-0.194,6.842,0,4,Red,6115,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Rear Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Rear Windscreen,*,User Number,,0.107,0.347,,0,4,Black,,,,,,,,,,1,left,265,Bold Italic 02,1,,,,
Aussie Racing Car,,Roof,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Aussie Racing Car,,Roof,*,Corporate Logo,,0.662,0.888,1,0,8,,,,,,,,,,,,,,,,,,,
