type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Buggy,,Bonnet,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Bonnet,*,Corporate Logo,,0.087,0.389,3.75,-93,3,,,,,,,,,,,,,,,,,,,
Buggy,,Bonnet,*,User Name,,0.495,0.86,,0,8,Black,,,,,,,,,,1,left,103,Bold 10,1,,,,
Buggy,,Bonnet,*,User Number,,0.851,0.083,,0,5,Black,,,,,,,,,,1,left,125,Bold 10,1,,,,
Buggy,,Bonnet,*,User Flag,,0.154,0.888,1.7,0,7,,,,,,,,,,,,,,,,,,,
Buggy,,Bonnet,*,Target Logo,,0.509,0.458,6,0,6,,,,,,,,,,,,,,,,,,,
Buggy,,Bonnet,*,Designer Added Icon 1,,1.045,-0.063,6.7,-48,4,Red,6111,,,,,,,,,,,,,,,,,
Buggy,,Right Front Wheel Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Buggy,,Right Front Wheel Fender,*,Designer Added Icon 1,,0.92,0.334,1,0,4,,278,,,,,,,,,,,,,,,,,
Buggy,,Right Front Wheel Fender,*,Designer Added Icon 2,,0.326,-0.095,1,0,5,,7180,,,,,,,,,,,,,,,,,
Buggy,,Left Front Wheel Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Buggy,,Left Front Wheel Fender,*,Designer Added Icon 1,,0.08,0.334,1,0,4,,278,,,,,,,,,,,,,,,,,
Buggy,,Left Front Wheel Fender,*,Designer Added Icon 2,,0.674,-0.095,1,0,5,,7180,,,,,,,,,,,,,,,,,
Buggy,,Right Rear Wheel Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Buggy,,Right Rear Wheel Fender,*,Designer Added Icon 1,,0.635,-0.001,1,-53,4,,7180,,,,,,,,,,,,,,,,,
Buggy,,Right Rear Wheel Fender,*,Designer Added Icon 2,,0.48,0.438,2.9,0,5,,283,,,,,,,,,,,,,,,,,
Buggy,,Left Rear Wheel Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Buggy,,Left Rear Wheel Fender,*,Designer Added Icon 1,,0.635,-0.001,1,-53,4,,7180,,,,,,,,,,,,,,,,,
Buggy,,Left Rear Wheel Fender,*,Designer Added Icon 2,,0.48,0.438,2.9,0,5,,283,,,,,,,,,,,,,,,,,
Buggy,,Right Rear Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Left Rear Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Rear Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,User Name,,0.523,0.844,,0,6,Black,,Red,,,,13,,,,1,left,85,Bold 10,1,,,,
Buggy,,Right Side Panel,*,User Number,,0.502,0.356,,0,4,Black,,Red,,,,10,,,,1,left,303,Bold 10,1,,,,
Buggy,,Right Side Panel,*,User Flag,,0.853,0.107,1,0,5,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Target Name,,0.477,0.102,,0,7,Black,,Red,,,,12,,,,1,left,95,Bold 10,1,,,,
Buggy,,Right Side Panel,*,Designer Added Icon 1,,0.381,0.671,2.3,0,8,,1,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Designer Added Icon 2,,0.694,0.651,1.9,0,9,,173,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Designer Added Icon 3,,0.505,0.578,1,0,3,,7177,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Roof,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Governing Body Logo,,0.115,0.241,1,0,10,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Class Logo,,0.834,0.828,1,0,11,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Regulatory Body Logo,,0.226,0.855,1,0,12,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Governing Body Logo 2,,0.861,0.226,1,0,13,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Target Logo,,0.104,0.102,1,0,14,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,User Letter,,0.837,0.326,,0,15,Black,,,,,,,,,,1,left,125,Bold 01,1,,,,
Buggy,,Right Side Panel,*,User State,,0.879,0.436,,0,16,Black,,,,,,,,,,1,left,125,Bold 01,1,,,,
Buggy,,Right Side Panel,*,Corporate Logo,,0.495,0.192,1,0,17,,,,,,,,,,,,,,,,,,,
Buggy,,Right Side Panel,*,Series Sponsor,,0.528,0.942,1,0,18,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,User Name,,0.477,0.844,,0,6,Black,,Red,,,,13,,,,1,left,85,Bold 10,1,,,,
Buggy,,Left Side Panel,*,User Number,,0.498,0.356,,0,4,Black,,Red,,,,10,,,,1,left,303,Bold 10,1,,,,
Buggy,,Left Side Panel,*,User Flag,,0.147,0.107,1,0,5,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Target Name,,0.523,0.102,,0,7,Black,,Red,,,,12,,,,1,left,95,Bold 10,1,,,,
Buggy,,Left Side Panel,*,Designer Added Icon 1,,0.619,0.671,2.3,0,8,,1,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Designer Added Icon 2,,0.306,0.651,1.9,0,9,,173,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Designer Added Icon 3,,0.495,0.578,1,0,3,,7177,,,,,,,,,,,,,,,1,,
Buggy,,Left Side Panel,*,Governing Body Logo,,0.885,0.241,1,0,10,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Class Logo,,0.166,0.828,1,0,11,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Regulatory Body Logo,,0.774,0.855,1,0,12,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Governing Body Logo 2,,0.139,0.226,1,0,13,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Target Logo,,0.896,0.102,1,0,14,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,User Letter,,0.163,0.326,,0,15,Black,,,,,,,,,,1,left,125,Bold 01,1,,,,
Buggy,,Left Side Panel,*,User State,,0.121,0.436,,0,16,Black,,,,,,,,,,1,left,125,Bold 01,1,,,,
Buggy,,Left Side Panel,*,Corporate Logo,,0.505,0.192,1,0,17,,,,,,,,,,,,,,,,,,,
Buggy,,Left Side Panel,*,Series Sponsor,,0.472,0.942,1,0,18,,,,,,,,,,,,,,,,,,,
Buggy,,Roof,*,User Number,,0.503,0.447,,0,3,Black,,,,,,,,,,1,left,372,Bold 01,1,,,,
Buggy,,Roof,*,User Letter,,0.932,0.509,,0,4,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
Buggy,,Roof,*,User State,,0.931,0.598,,0,5,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
Buggy,,Roof,*,User Name,,0.511,0.883,,0,6,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
Buggy,,Roof,*,Corporate Logo,,0.515,0.09,2.000000000000001,0,7,,,,,,,,,,,,,,,,,,,
Buggy,,Roof,*,Series Sponsor,,0.51,0.186,1.3000000000000003,0,8,,,,,,,,,,,,,,,,,,,
Buggy,,Roof,*,Target Name,,0.513,0.264,,0,9,Black,,,,,,,,,,1,left,67,Bold 01,1,,,,
