type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Coupe Utility,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Coupe Utility,,Bonnet,*,Corporate Logo,,0.134,0.101,1.7648389568598897,0,10,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Bonnet,*,User Name,,0.504,0.862,,0,5,Black,,,,,,,,,,1,left,125,Bold 16,1,,,,
Coupe Utility,,Bonnet,*,User Number,,0.511,0.405,,0,4,Black,,,,,,,,,,1,left,426,Bold Italic 02,1,,,,
Coupe Utility,,Bonnet,*,User Flag,,0.903,0.114,1.1,0,8,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Bonnet,*,Target Name,,0.517,0.09,,0,9,Black,,,,,,,,,,1,left,85,Bold 16,1,,,,
Coupe Utility,,Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Coupe Utility,,Windscreen,*,Series Sponsor,,0.857,0.511,8.011625498090982,0,4,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Left Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Coupe Utility,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Coupe Utility,,Right Door Number Plate,*,Corporate Logo,,0.512,0.099,1.7437906746703646,0,10,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Right Door Number Plate,*,User Name,,0.516,0.825,,0,5,Black,,,,,,,,,,1,left,53,Bold 16,1,,,,
Coupe Utility,,Right Door Number Plate,*,User Number,,0.504,0.44,,0,4,Black,,,,,,,,,,1,left,238,Bold Italic 02,1,,,,
Coupe Utility,,Right Door Number Plate,*,User Flag,,0.877,0.097,0.8,0,8,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Right Door Number Plate,*,Target Name,,0.521,0.246,,0,9,Black,,,,,,,,,,1,left,50,Bold 16,1,,,,
Coupe Utility,,Rear Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Coupe Utility,,Rear Windscreen,*,User Name,,0.172,0.282,,0,6,Black,,,,,,,,,,1,left,64,Bold 16,1,,,,
Coupe Utility,,Rear Windscreen,*,User Number,,0.068,0.384,,0,4,Black,,,,,,,,,,1,left,225,Bold Italic 02,1,,,,
Coupe Utility,,Rear Windscreen,*,User Flag,,0.172,0.651,1,0,5,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Front Right Wheel Arch,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Coupe Utility,,Front Right Wheel Arch,*,Corporate Logo,,0.505,0.595,1.6838554184963637,0,7,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Front Right Wheel Arch,*,Designer Added Icon 1,,0.529,0.213,3.1999999999999997,0,4,,2335,,,,,,,,,,,,,,,,,
Coupe Utility,,Front Right Wheel Arch,*,Designer Added Icon 2,,0.51,0.397,3.1999999999999993,0,5,,129,,,,,,,,,,,,,,,,,
Coupe Utility,X,Front Right Wheel Arch,*,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
Coupe Utility,,Front Left Wheel Arch,*,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
