type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Formula,,Front Right Wing Fin,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Formula,,Front Right Wing Fin,*,Designer Added Icon 1,,0.499,0.503,4.122581106009964,0,4,,758,,,,,,,,,,,,,,,,,
Formula,,Front Left Wing Fin,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Corporate Logo,,0.514,0.082,1.95,0,11,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,User Name,,0.52,0.82,,0,5,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Formula,,Nose Cone,*,User Number,,0.511,0.381,,0,4,Black,,,,,,,,,,1,left,314,Bold Italic 02,1,,,,
Formula,,Nose Cone,*,User Flag,,0.516,0.932,0.85,0,7,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Designer Added Icon 1,,0.486,0.988,7.1,0,3,Red,6115,,,,,,,,,,,,,,,,,
Formula,,Top Steering Housing,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Right Steering Housing,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Left Steering Housing,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Corporate Logo,,0.509,0.065,1.95,0,11,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,User Name,,0.5,0.828,,0,5,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Formula,,Right Side Panel,*,User Number,,0.503,0.38,,0,4,Black,,,,,,,,,,1,left,507,Bold Italic 02,1,,,,
Formula,,Right Side Panel,*,User Flag,,0.901,0.079,0.85,0,7,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Designer Added Icon 1,,0.498,0.97,9.041973389997505,0,3,Red,6115,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Right Engine Cover,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Left Engine Cover,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Formula,,Rear Right Wing Fin,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Formula,,Rear Right Wing Fin,*,Designer Added Icon 1,,0.513,0.456,8.7,0,4,,758,,,,,,,,,,,,,,,,,
Formula,,Rear Left Wing Fin,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Formula,,Rear Left Wing Fin,*,Designer Added Icon 1,,0.513,0.456,8.7,0,4,,758,,,,,,,,,,,,,,,,,
Formula,,Front Left Wing Fin,*,Designer Added Icon 1,,0.501,0.503,4.122581106009964,0,4,,758,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Class Logo,,0.761,0.834,1,0,12,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,User Letter,,0.935,0.485,,0,13,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
Formula,,Right Side Panel,*,User State,,0.93,0.55,,0,14,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
Formula,,Right Side Panel,*,Target Logo,,0.106,0.094,1,0,15,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Regulatory Body Logo,,0.244,0.848,1,0,16,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Series Sponsor,,0.512,0.145,1.6000000000000005,0,17,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Target Name,,0.511,0.213,,0,18,Black,,,,,,,,,,1,left,67,Bold 16,1,,,,
Formula,,Right Side Panel,*,Governing Body Logo 2,,0.744,0.221,1,0,19,,,,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,Governing Body Logo,,0.267,0.216,1,0,20,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Corporate Logo,,0.491,0.065,1.95,0,11,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,User Name,,0.5,0.828,,0,5,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Formula,,Left Side Panel,*,User Number,,0.497,0.38,,0,4,Black,,,,,,,,,,1,left,507,Bold Italic 02,1,,,,
Formula,,Left Side Panel,*,User Flag,,0.099,0.079,0.85,0,7,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Designer Added Icon 1,,0.502,0.97,9.041973389997505,0,3,Red,6115,,,,,,,,,,,,,,,1,,
Formula,,Left Side Panel,*,Class Logo,,0.239,0.834,1,0,12,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,User Letter,,0.065,0.485,,0,13,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
Formula,,Left Side Panel,*,User State,,0.07,0.55,,0,14,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
Formula,,Left Side Panel,*,Target Logo,,0.894,0.094,1,0,15,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Regulatory Body Logo,,0.756,0.848,1,0,16,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Series Sponsor,,0.488,0.145,1.6000000000000005,0,17,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Target Name,,0.489,0.213,,0,18,Black,,,,,,,,,,1,left,67,Bold 16,1,,,,
Formula,,Left Side Panel,*,Governing Body Logo 2,,0.256,0.221,1,0,19,,,,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,Governing Body Logo,,0.733,0.216,1,0,20,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,User Letter,,0.904,0.508,,0,12,Black,,,,,,,,,,1,left,70,Bold 01,1,,,,
Formula,,Nose Cone,*,User State,,0.866,0.576,,0,13,Black,,,,,,,,,,1,left,70,Bold 01,1,,,,
Formula,,Nose Cone,*,Target Logo,,0.513,0.694,1,0,14,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Designer Added Text 1,,0.517,0.155,,0,15,Black,,,,,,,,,,1,left,55,Bold 16,1,Your Name,,,
Formula,,Nose Cone,*,Target Name,,0.517,0.235,,0,16,Black,,,,,,,,,,1,left,67,Bold 16,1,,,,
Formula,,Nose Cone,*,Governing Body Logo,,0.161,0.097,1,0,17,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Governing Body Logo 2,,0.864,0.097,1,0,18,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Regulatory Body Logo,,0.165,0.244,1,0,19,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Class Logo,,0.854,0.224,1,0,20,,,,,,,,,,,,,,,,,,,
Formula,,Nose Cone,*,Series Sponsor,,0.217,0.75,1,0,21,,,,,,,,,,,,,,,,,,,
