type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Gran Turismo GT,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,Corporate Logo,,0.515,0.709,2.55,0,10,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,User Name,,0.517,0.835,,0,5,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Gran Turismo GT,,Bonnet,*,User Number,,0.518,0.371,,0,4,Black,,,,,,,,,,1,left,300,Bold 10,1,,,,
Gran Turismo GT,,Bonnet,*,User Flag,,0.516,0.953,0.5000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,Target Name,,0.537,0.07,,0,9,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Gran Turismo GT,,Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Windscreen,*,Target Logo,,0.507,0.271,4.000000000000004,0,4,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,Corporate Logo,,0.488,0.688,1.549999999999999,0,10,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,User Name,,0.486,0.788,,0,5,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Gran Turismo GT,,Right Door Number Plate,*,User Number,,0.485,0.37,,0,4,Black,,,,,,,,,,1,left,200,Bold 10,1,,,,
Gran Turismo GT,,Right Door Number Plate,*,User Flag,,0.494,0.926,0.5000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,Target Name,,0.512,0.057,,0,9,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Gran Turismo GT,,Rear Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Windscreen,*,User Name,,0.198,0.78,,0,6,Black,,,,,,,,,,1,left,45,Bold 10,1,,,,
Gran Turismo GT,,Rear Windscreen,*,User Number,,0.066,0.414,,0,4,Black,,,,,,,,,,1,left,250,Bold 10,1,,,,
Gran Turismo GT,,Rear Windscreen,*,User Flag,,0.2,0.285,1,0,5,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Number Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Rear Window,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Rear Window,*,Corporate Logo,,0.536,0.613,3.1,0,7,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Rear Window,*,Designer Added Icon 1,,0.534,0.248,3.7,0,4,,2335,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Rear Window,*,Designer Added Icon 2,,0.539,0.441,4,0,5,,129,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Rear Window,*,Designer Added Icon 3,,0.55,0.81,5.1,0,6,Black,6740,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Rear Window,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Rear Window,*,Corporate Logo,,0.536,0.613,3.1,0,7,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Rear Window,*,Designer Added Icon 1,,0.534,0.248,3.7,0,4,,2335,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Rear Window,*,Designer Added Icon 2,,0.539,0.441,4,0,5,,129,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Rear Window,*,Designer Added Icon 3,,0.55,0.81,5.1,0,6,Black,6740,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Roof,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Roof,*,Corporate Logo,,0.489,0.673,2.55,0,10,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Roof,*,User Name,,0.498,0.77,,0,5,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Gran Turismo GT,,Roof,*,User Number,,0.491,0.378,,0,4,Black,,,,,,,,,,1,left,300,Bold 10,1,,,,
Gran Turismo GT,,Roof,*,User Flag,,0.478,0.915,1,0,8,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Roof,*,Target Name,,0.513,0.056,,0,9,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Gran Turismo GT,,Boot,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Bumper,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Bumper,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Right Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Left Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Right Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Rear Left Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,Governing Body Logo,,0.1,0.331,1,0,11,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,Regulatory Body Logo,,0.16,0.902,1,0,12,,,,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,Class Logo,,0.903,0.811,1,0,13,,,,,,,,,,,,,,,,,,,
