type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Midget Car,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Corporate Logo,,0.495,0.667,2.049927666151316,0,10,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,User Name,,0.512,0.153,,0,6,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Bonnet,*,User Number,,0.501,0.437,,0,5,Black,,,,,,,,,,1,left,300,Bold 10,1,,,,
Midget Car,,Bonnet,*,User Flag,,0.51,0.06,0.9999999999999983,0,4,,,,,,,,,,,,,,,,,,,
Midget Car,,Windscreen,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Corporate Logo,,0.516,0.655,1.9999999999999978,0,10,,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,User Name,,0.524,0.153,,0,6,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Right Rear Side Panel,*,User Number,,0.506,0.445,,0,5,Black,,,,,,,,,,1,left,300,Bold 10,1,,,,
Midget Car,,Right Rear Side Panel,*,User Flag,,0.501,0.071,0.9999999999999999,0,4,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Series Sponsor,,0.513,0.245,1,0,11,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Governing Body Logo,,0.087,0.408,1,0,12,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Governing Body Logo 2,,0.203,0.677,1,0,13,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Regulatory Body Logo,,0.773,0.672,1,0,14,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,User Letter,,0.933,0.437,,0,15,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Bonnet,*,User State,,0.932,0.525,,0,16,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Bonnet,*,Class Logo,,0.819,0.255,1,0,17,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Target Logo,,0.509,0.766,1,0,18,,,,,,,,,,,,,,,,,,,
Midget Car,,Bonnet,*,Target Name,,0.503,0.87,,0,19,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Right Rear Side Panel,*,Target Name,,0.501,0.895,,0,11,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Right Rear Side Panel,*,User Letter,,0.904,0.472,,0,12,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Right Rear Side Panel,*,User State,,0.902,0.553,,0,13,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Right Rear Side Panel,*,Series Sponsor,,0.513,0.247,1,0,14,,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Class Logo,,0.847,0.278,1,0,15,,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Target Logo,,0.52,0.774,1,0,16,,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Regulatory Body Logo,,0.774,0.675,1,0,17,,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Governing Body Logo 2,,0.27,0.676,1,0,18,,,,,,,,,,,,,,,,,,,
Midget Car,,Right Rear Side Panel,*,Governing Body Logo,,0.101,0.39,1,0,19,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Corporate Logo,,0.5,0.657,1.9999999999999978,0,10,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,User Name,,0.513,0.156,,0,6,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Left Rear Side Panel,*,User Number,,0.511,0.446,,0,5,Black,,,,,,,,,,1,left,300,Bold 10,1,,,,
Midget Car,,Left Rear Side Panel,*,User Flag,,0.499,0.071,0.9999999999999999,0,4,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Target Name,,0.499,0.895,,0,11,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Left Rear Side Panel,*,User Letter,,0.907,0.467,,0,12,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Left Rear Side Panel,*,User State,,0.904,0.555,,0,13,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Midget Car,,Left Rear Side Panel,*,Series Sponsor,,0.512,0.245,1,0,14,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Class Logo,,0.829,0.257,1,0,15,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Target Logo,,0.508,0.777,1,0,16,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Regulatory Body Logo,,0.761,0.682,1,0,17,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Governing Body Logo 2,,0.247,0.686,1,0,18,,,,,,,,,,,,,,,,,,,
Midget Car,,Left Rear Side Panel,*,Governing Body Logo,,0.115,0.411,1,0,19,,,,,,,,,,,,,,,,,,,
