type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Rally,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Bonnet,*,Corporate Logo,,0.509,0.701,2.16483895685989,0,10,,,,,,,,,,,,,,,,,,,
Rally,,Bonnet,*,User Name,,0.505,0.81,,0,5,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Rally,,Bonnet,*,User Number,,0.511,0.306,,0,4,Black,,,,,,,,,,1,left,387,Bold Italic 02,1,,,,
Rally,,Bonnet,*,User Flag,,0.509,0.935,0.76436,0,8,,,,,,,,,,,,,,,,,,,
Rally,,Bonnet,*,Target Name,,0.52,0.084,,0,9,Black,,,,,,,,,,1,left,85,Bold 16,1,,,,
Rally,,Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Windscreen,*,Series Sponsor,,0.911,0.498,3.992216707475395,0,4,,,,,,,,,,,,,,,,,,,
Rally,,Left Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,Corporate Logo,,0.495,0.645,2.0371399999999995,0,10,,,,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,User Name,,0.512,0.758,,0,5,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Rally,,Right Door Number Plate,*,User Number,,0.502,0.351,,0,4,Black,,,,,,,,,,1,left,225,Bold Italic 02,1,,,,
Rally,,Right Door Number Plate,*,User Flag,,0.501,0.921,0.8,0,8,,,,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,Target Name,,0.517,0.065,,0,9,Black,,,,,,,,,,1,left,49,Bold 16,1,,,,
Rally,,Rear Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Rear Windscreen,*,User Name,,0.148,0.783,,0,6,Black,,,,,,,,,,1,left,45,Bold 16,1,,,,
Rally,,Rear Windscreen,*,User Number,,0.056,0.397,,0,4,Black,,,,,,,,,,1,left,225,Bold Italic 02,1,,,,
Rally,,Rear Windscreen,*,User Flag,,0.147,0.326,1,0,5,,,,,,,,,,,,,,,,,,,
Rally,,Rear Number Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,Corporate Logo,,0.523,0.592,3.1,0,7,,,,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,Designer Added Icon 1,,0.517,0.216,3.7,0,4,,2335,,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,Designer Added Icon 2,,0.514,0.401,4,0,5,,129,,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,Designer Added Icon 3,,0.524,0.781,5.1,0,6,Black,6740,,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Roof,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Rally,,Roof,*,Corporate Logo,,0.507,0.717,2.95,0,10,,,,,,,,,,,,,,,,,,,
Rally,,Roof,*,User Name,,0.501,0.813,,0,5,Black,,,,,,,,,,1,left,91,Bold 16,1,,,,
