type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sporting Trials Car,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Corporate Logo,,0.514,0.14,0.9956874437065854,0,10,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,User Name,,0.512,0.775,,0,5,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Bonnet,*,User Number,,0.516,0.442,,0,4,Black,,,,,,,,,,1,left,350,Bold 10,1,,,,
Sporting Trials Car,,Bonnet,*,User Flag,,0.907,0.109,1,0,8,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Target Name,,0.511,0.049,,0,9,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Left Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Corporate Logo,,0.522,0.173,0.9680324482100585,0,10,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,User Name,,0.508,0.762,,0,5,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Right Door Number Plate,*,User Number,,0.511,0.431,,0,4,Black,,,,,,,,,,1,left,250,Bold 10,1,,,,
Sporting Trials Car,,Right Door Number Plate,*,User Flag,,0.894,0.1,1,0,8,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Target Name,,0.514,0.075,,0,9,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Bonnet,*,User Letter,,0.935,0.563,,0,11,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Bonnet,*,User State,,0.94,0.669,,0,12,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Bonnet,*,Series Sponsor,,0.913,0.291,1,0,13,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Governing Body Logo,,0.079,0.124,1,0,14,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Class Logo,,0.079,0.366,1,0,15,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Regulatory Body Logo,,0.293,0.86,1,0,16,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Governing Body Logo 2,,0.703,0.869,1,0,17,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Bonnet,*,Target Logo,,0.513,0.914,1,0,18,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,User Letter,,0.919,0.544,,0,11,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Right Door Number Plate,*,User State,,0.922,0.648,,0,12,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Right Door Number Plate,*,Target Logo,,0.507,0.904,0.7000000000000001,0,13,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Governing Body Logo 2,,0.791,0.789,0.7000000000000001,0,14,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Regulatory Body Logo,,0.234,0.782,0.7000000000000001,0,15,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Class Logo,,0.071,0.287,0.7000000000000001,0,16,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Governing Body Logo,,0.077,0.102,0.7000000000000001,0,17,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Right Door Number Plate,*,Series Sponsor,,0.916,0.257,0.7000000000000001,0,18,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Corporate Logo,,0.478,0.173,0.9680324482100585,0,10,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,User Name,,0.492,0.762,,0,5,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Left Door Number Plate,*,User Number,,0.489,0.431,,0,4,Black,,,,,,,,,,1,left,250,Bold 10,1,,,,
Sporting Trials Car,,Left Door Number Plate,*,User Flag,,0.896,0.095,1,0,8,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Target Name,,0.486,0.075,,0,9,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Left Door Number Plate,*,User Letter,,0.926,0.563,,0,11,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Left Door Number Plate,*,User State,,0.919,0.66,,0,12,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Sporting Trials Car,,Left Door Number Plate,*,Target Logo,,0.493,0.904,0.7000000000000001,0,13,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Governing Body Logo 2,,0.758,0.789,0.7000000000000001,0,14,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Regulatory Body Logo,,0.227,0.791,0.7000000000000001,0,15,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Class Logo,,0.078,0.25,0.7000000000000001,0,16,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Governing Body Logo,,0.072,0.093,0.7000000000000001,0,17,,,,,,,,,,,,,,,,,,,
Sporting Trials Car,,Left Door Number Plate,*,Series Sponsor,,0.904,0.255,0.7000000000000001,0,18,,,,,,,,,,,,,,,,,,,
