type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sports Car,,Bonnet,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,Corporate Logo,,0.845,0.112,1.706,0,11,,,,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,User Name,,0.5,0.866,,0,6,Black,,,,,,,,,,1,left,125,Bold 16,1,,,,
Sports Car,,Bonnet,*,User Number,,0.512,0.355,,0,5,Black,,,,,,,,,,1,left,355,Bold Italic 02,1,,,,
Sports Car,,Bonnet,*,User Flag,,0.127,0.554,1.1,0,9,,,,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,Target Name,,0.499,0.101,,0,10,Black,,,,,,,,,,1,left,85,Bold 16,1,,,,
Sports Car,,Bonnet,*,Target Logo,,0.157,0.117,1.62,0,12,,,,,,,,,,,,,,,,,,,
Sports Car,,Left Wing Mirror Front,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,Designer Added Icon 1,,0.502,0.511,18.5,0,5,Black,439,,,,,,,,,,,,,,,,,
Sports Car,,Right Wing Mirror Front,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,Corporate Logo,,0.504,0.696,2.393,0,11,,,,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,User Name,,0.499,0.809,,0,6,Black,,,,,,,,,,1,left,60,Bold 16,1,,,,
Sports Car,,Left Door Number Plate,*,User Number,,0.501,0.385,,0,5,Black,,,,,,,,,,1,left,250,Bold Italic 02,1,,,,
Sports Car,,Left Door Number Plate,*,User Flag,,0.505,0.93,0.7,0,9,,,,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,Target Name,,0.497,0.199,,0,10,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Sports Car,,Left Door Number Plate,*,Target Logo,,0.486,0.042,1,0,12,,,,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,Corporate Logo,,0.496,0.696,2.393,0,11,,,,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,User Name,,0.501,0.809,,0,6,Black,,,,,,,,,,1,left,60,Bold 16,1,,,,
Sports Car,,Right Door Number Plate,*,User Number,,0.499,0.385,,0,5,Black,,,,,,,,,,1,left,250,Bold Italic 02,1,,,,
Sports Car,,Right Door Number Plate,*,User Flag,,0.495,0.93,0.7,0,9,,,,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,Target Name,,0.503,0.199,,0,10,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Sports Car,,Right Door Number Plate,*,Target Logo,,0.514,0.042,1,0,12,,,,,,,,,,,,,,,,,,,
Sports Car,,Rear Windscreen,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Rear Windscreen,*,User Name,,0.164,0.295,,0,7,Black,,,,,,,,,,1,left,45,Bold 16,1,,,,
Sports Car,,Rear Windscreen,*,User Number,,0.066,0.384,,0,5,Black,,,,,,,,,,1,left,225,Bold Italic 02,1,,,,
Sports Car,,Rear Windscreen,*,User Flag,,0.163,0.611,1,0,6,,,,,,,,,,,,,,,,,,,
Sports Car,,Left Under Door Chassis,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Right Under Door Chassis,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Rear Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,Corporate Logo,,0.516,0.593,3.1,0,8,,,,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,Designer Added Icon 1,,0.522,0.219,3.7,0,5,,2335,,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,Designer Added Icon 2,,0.518,0.407,4,0,6,,129,,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,Designer Added Icon 3,,0.527,0.802,5.1,0,7,Black,6740,,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,Corporate Logo,,0.484,0.593,3.1,0,8,,,,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,Designer Added Icon 1,,0.478,0.219,3.7,0,5,,2335,,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,Designer Added Icon 2,,0.482,0.407,4,0,6,,129,,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,Designer Added Icon 3,,0.473,0.802,5.1,0,7,Black,6740,,,,,,,,,,,,,,,,,
Sports Car,,Roof,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Sports Car,,Roof,*,Corporate Logo,,0.507,0.667,2.95,0,11,,,,,,,,,,,,,,,,,,,
Sports Car,,Roof,*,User Name,,0.503,0.78,,0,6,Black,,,,,,,,,,1,left,125,Bold 16,1,,,,
Sports Car,,Roof,*,User Number,,0.501,0.354,,0,5,Black,,,,,,,,,,1,left,365,Bold Italic 02,1,,,,
Sports Car,,Roof,*,User Flag,,0.514,0.93,1.1,0,9,,,,,,,,,,,,,,,,,,,
Sports Car,,Roof,*,Target Name,,0.514,0.057,,0,10,Black,,,,,,,,,,1,left,85,Bold 16,1,,,,
Sports Car,,Boot,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Front Bumper,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Rear Bumper,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Door,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Door,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Front Right Wheel Arch,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Front Left Wheel Arch,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Rear Right Wheel Arch,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Rear Left Wheel Arch,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Right Quarter Panel,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Left Quarter Panel,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,User Letter,,0.816,0.435,,0,13,Black,,,,,,,,,,1,left,80,Bold 01,1,,,,
