type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sports Racer,,Front Right Wing Fin,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Front Left Wing Fin,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Nose Cone,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Nose Cone,*,Corporate Logo,,0.499,0.712,2,0,10,,,,,,,,,,,,,,,,,,,
Sports Racer,,Nose Cone,*,User Name,,0.496,0.795,,0,5,Black,,,,,,,,,,1,left,100,Bold 16,1,,,,
Sports Racer,,Nose Cone,*,User Number,,0.496,0.44,,0,4,Black,,,,,,,,,,1,left,400,Bold Italic 02,1,,,,
Sports Racer,,Nose Cone,*,User Flag,,0.495,0.895,0.7,0,8,,,,,,,,,,,,,,,,,,,
Sports Racer,,Nose Cone,*,Target Name,,0.515,0.124,,0,9,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Sports Racer,,Right Side Panel,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Right Side Panel,*,Corporate Logo,,0.508,0.685,2.0742022080430074,0,10,,,,,,,,,,,,,,,,,,,
Sports Racer,,Right Side Panel,*,User Name,,0.506,0.787,,0,5,Black,,,,,,,,,,1,left,69,Bold 16,1,,,,
Sports Racer,,Right Side Panel,*,User Number,,0.502,0.367,,0,4,Black,,,,,,,,,,1,left,244,Bold Italic 02,1,,,,
Sports Racer,,Right Side Panel,*,User Flag,,0.512,0.927,0.7000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Sports Racer,,Right Side Panel,*,Target Name,,0.529,0.057,,0,9,Black,,,,,,,,,,1,left,75,Bold 16,1,,,,
Sports Racer,,Left Side Panel,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Rear Wing,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Rear Right Wing Fin,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Rear Left Wing Fin,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Right Wing Mirror Front,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Left Wing Mirror Front,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Front Right Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Front Left Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Racer,,Rear Right Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
