type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sprint Car,,Bonnet,*,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Sprint Car,,Windscreen,*,Background,,0,0,1,0,2,Aluminium,,,,,,,,,,,,,,,,,,
Sprint Car,,Right Rear Side Panel,*,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Sprint Car,,Left Rear Side Panel,*,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Sprint Car,,Top Wing,*,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Sprint Car,,Top Wing,*,User Name,,0.767,0.935,,0,5,Black,,,,,,,,,,1,left,125,Bold 05,1,,,,
Sprint Car,,Top Wing,*,User Number,,0.511,0.482,,0,4,Yellow,,Black,,,,10,,,,1,left,999,Bold 05,1,,,,
Sprint Car,,Top Wing,*,User Flag,,0.562,0.945,1.5,0,6,,,,,,,,,,,,,,,,,,,
Sprint Car,,Right Outer Wing,*,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Sprint Car,,Right Outer Wing,*,User Number,,0.24,0.49,,0,5,Yellow,,Black,,,,10,,,,1,left,929,Bold 05,1,,,,
Sprint Car,,Right Outer Wing,*,User Flag,,0.606,0.224,6.05,0,9,,,,,,,,,,,,,,,,,,,
Sprint Car,,Right Outer Wing,*,Designer Added Icon 1,,0.497,0.675,5.4,166,4,Yamaha Blue,7341,,,,,,,,,,,,,,,,,
Sprint Car,,Right Outer Wing,*,Designer Added Icon 2,,0.719,0.541,10.9,0,6,,46,,,,,,,,,,,,,,,,,
Sprint Car,,Right Outer Wing,*,Designer Added Icon 3,,0.838,0.211,5.4,0,7,,29,,,,,,,,,,,,,,,,,
