type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Standard Road Car,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Bonnet,*,Corporate Logo,,0.512,0.679,2.3857821911999997,0,10,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Bonnet,*,User Name,,0.507,0.79,,0,5,Black,,,,,,,,,,1,left,82,Bold 16,1,,,,
Standard Road Car,,Bonnet,*,User Number,,0.507,0.292,,0,4,Black,,,,,,,,,,1,left,364,Bold Italic 02,1,,,,
Standard Road Car,,Bonnet,*,User Flag,,0.51,0.928,0.7000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Bonnet,*,Target Name,,0.523,0.072,,0,9,Black,,,,,,,,,,1,left,85,Bold 16,1,,,,
Standard Road Car,,Left Wing Mirror Front,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,Series Sponsor,,0.893,0.511,4.000000000000014,0,4,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Wing Mirror Front,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Left Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,Corporate Logo,,0.502,0.686,1.9437906746703648,0,10,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,User Name,,0.504,0.795,,0,5,Black,,,,,,,,,,1,left,60,Bold 16,1,,,,
Standard Road Car,,Right Door Number Plate,*,User Number,,0.499,0.373,,0,4,Black,,,,,,,,,,1,left,248,Bold Italic 02,1,,,,
Standard Road Car,,Right Door Number Plate,*,User Flag,,0.517,0.927,0.7000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,Target Name,,0.521,0.065,,0,9,Black,,,,,,,,,,1,left,56,Bold 16,1,,,,
Standard Road Car,,Rear Windscreen,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Windscreen,*,User Name,,0.157,0.796,,0,6,Black,,,,,,,,,,1,left,45,Bold 16,1,,,,
Standard Road Car,,Rear Windscreen,*,User Number,,0.059,0.397,,0,4,Black,,,,,,,,,,1,left,225,Bold Italic 02,1,,,,
Standard Road Car,,Rear Windscreen,*,User Flag,,0.158,0.326,1,0,5,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Left Under Door Chassis,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Under Door Chassis,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Number Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,Corporate Logo,,0.498,0.592,3.1,0,7,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,Designer Added Icon 1,,0.508,0.222,3.7,0,4,,2335,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,Designer Added Icon 2,,0.508,0.406,4,0,5,,129,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,Designer Added Icon 3,,0.506,0.799,5.1,0,6,Black,6740,,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Roof,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Roof,*,Corporate Logo,,0.51,0.691,2.95,0,10,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Roof,*,User Name,,0.509,0.798,,0,5,Black,,,,,,,,,,1,left,109,Bold 16,1,,,,
Standard Road Car,,Roof,*,User Number,,0.501,0.385,,0,4,Black,,,,,,,,,,1,left,360,Bold Italic 02,1,,,,
Standard Road Car,,Roof,*,User Flag,,0.515,0.937,1.1,0,8,,,,,,,,,,,,,,,,,,,
Standard Road Car,,Roof,*,Target Name,,0.532,0.066,,0,9,Black,,,,,,,,,,1,left,85,Bold 16,1,,,,
Standard Road Car,,Boot,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Front Bumper,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Bumper,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Door,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Door,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Front Right Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Front Left Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Right Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Left Wheel Arch,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Right Quarter Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Left Quarter Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,Corporate Logo,,0.502,0.592,3.1,0,7,,,,,,,,,,,,,,,,,,,
