type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Vintage,,Bonnet,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,User Name,,0.529,0.072,,0,6,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Bonnet,*,User Number,,0.517,0.47,,0,5,Black,,,,,,,,,,1,left,350,Bold 10,1,,,,
Vintage,,Bonnet,*,User Flag,,0.875,0.093,0.9999999999999992,0,4,,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Target Logo,,0.512,0.92,0.9973186664362216,0,7,,,,,,,,,,,,,,,,,,,
Vintage,,Left Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Vintage,,Right Door Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Vintage,,Right Door Number Plate,*,Corporate Logo,,0.505,0.178,1.0063685944532617,0,5,,,,,,,,,,,,,,,,,,,
Vintage,,Right Door Number Plate,*,User Number,,0.495,0.448,,0,4,Black,,,,,,,,,,1,left,326,Bold 10,1,,,,
Vintage,,Rear Right Wing Fin,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Vintage,,Rear Left Wing Fin,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Target Name,,0.494,0.792,,0,8,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Bonnet,*,User Letter,,0.959,0.662,,0,9,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Bonnet,*,User State,,0.944,0.738,,0,10,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Bonnet,*,Corporate Logo,,0.51,0.152,1,0,11,,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Governing Body Logo,,0.112,0.092,1,0,12,,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Class Logo,,0.087,0.252,1,0,13,,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Regulatory Body Logo,,0.191,0.826,1,0,14,,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Governing Body Logo 2,,0.812,0.835,1,0,15,,,,,,,,,,,,,,,,,,,
Vintage,,Bonnet,*,Series Sponsor,,0.891,0.251,1,0,16,,,,,,,,,,,,,,,,,,,
Vintage,,Right Door Number Plate,*,User Name,,0.504,0.088,,0,6,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Right Door Number Plate,*,Target Name,,0.506,0.771,,0,7,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Right Door Number Plate,*,User Letter,,0.94,0.645,,0,8,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Right Door Number Plate,*,User State,,0.938,0.713,,0,9,Black,,,,,,,,,,1,left,50,Bold 10,1,,,,
Vintage,,Right Door Number Plate,*,Series Sponsor,,0.896,0.238,1,0,10,,,,,,,,,,,,,,,,,,,
Vintage,,Right Door Number Plate,*,Governing Body Logo 2,,0.81,0.814,1,0,11,,,,,,,,,,,,,,,,,,,
Vintage,,Right Door Number Plate,*,Regulatory Body Logo,,0.179,0.792,1,0,12,,,,,,,,,,,,,,,,,,,
