type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Side By Side 6 Seater,,Front Hood,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Front Hood,*,Corporate Logo,,0.087,0.389,3.75,-93,3,,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Front Hood,*,User Name,,0.553,0.891,,0,8,Black,,,,,,,,,,1,left,100,Bold 10,1,,,,
Side By Side 6 Seater,,Front Hood,*,User Number,,0.851,0.083,,0,5,Black,,,,,,,,,,1,left,125,Bold 10,1,,,,
Side By Side 6 Seater,,Front Hood,*,User Flag,,0.183,0.886,1.7,0,7,,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Front Hood,*,Target Logo,,0.516,0.492,4.000000000000007,0,6,,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Front Hood,*,Designer Added Icon 1,,1.045,-0.063,6.7,-48,4,Red,6111,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Rear Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Front Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Front Fender,*,Designer Added Icon 1,,0.92,0.334,1,0,4,,278,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Front Fender,*,Designer Added Icon 2,,0.326,-0.095,1,0,5,,7180,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Left Front Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Left Front Fender,*,Designer Added Icon 1,,0.08,0.334,1,0,4,,278,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Left Front Fender,*,Designer Added Icon 2,,0.674,-0.095,1,0,5,,7180,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Rear Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Rear Fender,*,Designer Added Icon 1,,0.635,-0.001,1,-53,4,,7180,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Rear Fender,*,Designer Added Icon 2,,0.48,0.438,2.9,0,5,,283,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Left Rear Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Left Rear Fender,*,Designer Added Icon 1,,0.635,-0.001,1,-53,4,,7180,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Left Rear Fender,*,Designer Added Icon 2,,0.48,0.438,2.9,0,5,,283,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Side Panel,*,User Name,,0.496,0.809,,0,6,Black,,,,,,,,,,1,left,85,Bold 10,1,,,,
Side By Side 6 Seater,,Right Side Panel,*,User Number,,0.508,0.478,,0,4,Black,,,,,,,,,,1,left,303,Bold 10,1,,,,
Side By Side 6 Seater,,Right Side Panel,*,User Flag,,0.516,0.941,1,0,5,,,,,,,,,,,,,,,,,,,
Side By Side 6 Seater,,Right Side Panel,*,Target Name,,0.483,0.254,,0,7,Black,,,,,,,,,,1,left,85,Bold 10,1,,,,
Side By Side 6 Seater,,Right Side Panel,*,Series Sponsor,,0.518,0.732,0.9999999999999988,0,8,,,,,,,,,,,,,,,,,,,
