type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Side By Side,,Front Hood,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side,,Front Hood,*,Corporate Logo,,0.087,0.389,3.75,-93,3,,,,,,,,,,,,,,,,,,,
Side By Side,,Front Hood,*,User Name,,0.553,0.891,,0,8,Black,,,,,,,,,,1,left,115,Bold 10,1,,,,
Side By Side,,Front Hood,*,User Number,,0.851,0.083,,0,5,Black,,,,,,,,,,1,left,125,Bold 10,1,,,,
Side By Side,,Front Hood,*,User Flag,,0.183,0.886,1.7,0,7,,,,,,,,,,,,,,,,,,,
Side By Side,,Front Hood,*,Target Logo,,0.516,0.492,6,0,6,,,,,,,,,,,,,,,,,,,
Side By Side,,Front Hood,*,Designer Added Icon 1,,1.045,-0.063,6.7,-48,4,Red,6111,,,,,,,,,,,,,,,,,
Side By Side,,Rear Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side,,Right Front Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Side By Side,,Right Front Fender,*,Target Logo,,0.967,0.539,0.5000000000000001,0,4,,,,,,,,,,,,,,,,,,,
Side By Side,,Right Front Fender,*,Designer Added Icon 1,,0.326,-0.095,1,0,5,,7180,,,,,,,,,,,,,,,,,
Side By Side,,Left Front Fender,*,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
Side By Side,,Left Front Fender,*,Designer Added Icon 1,,0.374,0.544,0.5499999999999996,0,2,,278,,,,,,,,,,,,,,,,,
Side By Side,,Right Rear Fender,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Side By Side,,Right Rear Fender,*,Designer Added Icon 1,,0.635,-0.001,1,-53,4,,7180,,,,,,,,,,,,,,,,,
Side By Side,,Right Rear Fender,*,Governing Body Logo,,0.218,0.622,0.515854878359551,0,5,,,,,,,,,,,,,,,,,,,
Side By Side,,Left Rear Fender,*,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
Side By Side,,Left Rear Fender,*,Designer Added Icon 1,,0.488,-0.118,1.2000000000000024,0,2,,283,,,,,,,,,,,,,,,,,
Side By Side,,Right Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side,,Left Side Panel,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Side By Side,,Left Side Panel,*,Designer Added Icon 1,,0.373,-0.042,0.95,0,8,,1,,,,,,,,,,,,,,,,,
