type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sports Junior,,Front Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Sports Junior,,Front Plate,*,User Number,,0.48,0.478,,0,8,Black,,,,,,,,,,1,left,210,Bold 10,1,,,,
Sports Junior,,Front Plate,*,Designer Added Icon 1,,0.49,0.028,5.5,0,5,Kawasaki Green,7528,,,,,,,,,,,,,,,,,
Sports Junior,,Front Plate,*,Governing Body Logo,,0.086,0.315,0.5499999999999993,0,12,,,,,,,,,,,,,,,,,,,
Sports Junior,,Front Plate,*,Designer Added Icon 2,,0.751,0.858,2.85,-40,4,Kawasaki Green,6113,,,,,,,,,,,,,,,,,
Sports Junior,,Front Plate,*,Designer Added Icon 3,,0.2,0.849,2.8,40,3,Kawasaki Green,6113,,,,,,,,,,,,,,,,,
Sports Junior,,Front Plate,*,Designer Added Icon 4,,0.65,0.762,1,50,10,Black,7519,,,,,,,,,,,,,,,,,
Sports Junior,,Front Plate,*,Designer Added Icon 5,,0.303,0.761,1,132,11,Black,7519,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 1,,0.707,0.322,3.95,174,4,Black,6113,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 2,,0.679,0.33,2.65,174,5,White,6113,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 3,,0.55,0.426,5.3,58,6,Black,6116,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 4,,0.374,0.229,2.85,-60,7,Black,7490,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 5,,0.183,0.357,2.9,72,8,Black,7561,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 6,,0.361,0.24,1,0,9,,225,,,,,,,,,,,,,,,,,
Sports Junior,,Right Front Fender,*,Designer Added Icon 7,,0.472,0.352,1.3,0,10,,6678,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 1,,0.239,0.333,3.95,174,5,Black,6113,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 2,,0.264,0.36,2.65,174,6,White,6113,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 3,,0.361,0.554,5.3,110,7,Black,6116,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 4,,0.431,0.019,2.85,165,8,Black,7489,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 5,,0.675,0.389,2.9,2,9,Black,7561,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 6,,0.571,0.351,1,0,10,,225,,,,,,,,,,,,,,,,,
Sports Junior,,Left Front Fender,*,Designer Added Icon 7,,0.646,0.213,1.3,0,11,,6678,,,,,,,,,,,,,,,,,
Sports Junior,,Front Hood,*,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,,,,,,,,,
Sports Junior,,Front Hood,*,User Number,,0.498,0.435,,0,4,Black,,,,,,,,,,1,left,95,Bold 10,1,,,,
