type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Utility,,Right Front Fender,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Utility,,Right Front Fender,*,Designer Added Icon 1,,0.451,0.427,6.95,87,4,Red,7185,,,,,,,,,,,,,,,,,
Utility,,Right Front Fender,*,Designer Added Icon 2,,0.331,0.708,0.8,0,3,Black,7184,,,,,,,,,,,,,,,,,
Utility,,Right Front Fender,*,Governing Body Logo,,0.35,0.205,0.9999999999999988,0,5,,,,,,,,,,,,,,,,,,,
Utility,,Right Front Fender,*,Governing Body Logo 2,,0.825,0.895,0.966106812661759,0,6,,,,,,,,,,,,,,,,,,,
Utility,,Right Front Fender,*,Corporate Logo,,0.52,0.069,0.9999999999999988,0,7,,,,,,,,,,,,,,,,,,,
Utility,,Left Front Fender,*,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
Utility,,Left Front Fender,*,Designer Added Icon 1,,-0.228,0.354,0.9,0,3,,146,,,,,,,,,,,,,,,,,
Utility,,Left Front Fender,*,Designer Added Icon 2,,-0.203,0.834,1,0,2,,128,,,,,,,,,,,,,,,,,
Utility,,Left Front Fender,*,Designer Added Icon 3,,-0.176,0.091,0.9000000000000004,0,18,,6102,,,,,,,,,,,,,,,,,
Utility,,Front Hood,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Utility,,Front Hood,*,User Name,,0.486,0.904,,0,7,Black,,,,,,,,,,1,left,75,Bold 10,1,,,,
Utility,,Front Hood,*,User Number,,0.786,0.161,,0,5,Black,,,,,,,,,,1,left,125,Bold 10,1,,,,
Utility,,Front Hood,*,User Flag,,0.19,0.907,1,0,6,,,,,,,,,,,,,,,,,,,
Utility,,Front Hood,*,Target Logo,,0.492,0.515,2.0475673788379987,0,4,,,,,,,,,,,,,,,,,,,
Utility,,Front Hood,*,Designer Added Icon 1,,0.973,-0.029,5.5,-54,3,Red,6111,,,,,,,,,,,,,,,,,
