type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
450 VR 2008,,Right Tank,755,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 VR 2008,,Left Tank,756,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 VR 2008,,Upper Right Shroud,757,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 VR 2008,,Upper Left Shroud,758,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
450 VR 2008,,Left Tank,756,Designer Added Icon 1,,537.0248285571241,371.58834697925795,7.8359293262687055,22,5,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
450 VR 2008,,Left Tank,756,Designer Added Icon 2,,895.2849018171975,-242.36540759949676,2.4359293262687247,41,6,Motocal Red,7310,,,,,,,,,,,,,,,,,1,,
450 VR 2008,,Right Tank,755,Designer Added Icon 1,,960.8211714428759,371.58834697925795,7.8359293262687055,-22,5,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
450 VR 2008,,Right Tank,755,Designer Added Icon 2,,602.5610981828025,-242.36540759949676,2.4359293262687247,-41,6,Motocal Red,7310,,,,,,,,,,,,,,,,,,,
450 VR 2008,,Upper Left Shroud,758,Designer Added Icon 1,,746.2387328031867,788.5182995409293,14,0,6,Motocal Red,8441,,,,,,,,,,,,,,,,,,,
450 VR 2008,,Upper Right Shroud,757,Designer Added Icon 1,,577.4292671968132,788.5182995409293,14,0,6,Motocal Red,8441,,,,,,,,,,,,,,,,,1,,
450 VR 2008,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 VR 2008,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
