type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
PRO MXR 70 (White) 2014,,Right Tank,835,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Left Tank,836,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Rear Fender,834,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Right Front Fender,830,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Left Front Fender,831,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Front Hood,829,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Right Rear Fender,832,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Left Rear Fender,833,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 70 (White) 2014,,Left Rear Fender,833,Designer Added Icon 1,,460.339213066672,144.97718287914552,11,0,5,Red,8320,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,,Right Rear Fender,832,Designer Added Icon 1,,543.842786933328,144.97718287914552,11,0,5,Red,8320,,,,,,,,,,,,,,,,,1,,
PRO MXR 70 (White) 2014,,Left Tank,836,Designer Added Icon 1,,244.03276480890088,348.15968941526694,6.021869443816276,18,6,Red,6981,,,,,,,,,,,,,,,,,1,,
PRO MXR 70 (White) 2014,,Left Tank,836,Designer Added Icon 2,,543.8300811767436,-247.0689629849645,2.371869443816289,37,7,Red,7310,,,,,,,,,,,,,,,,,1,,
PRO MXR 70 (White) 2014,,Right Tank,835,Designer Added Icon 1,,1267.045235191099,348.15968941526694,6.021869443816276,-18,6,Red,6981,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,,Right Tank,835,Designer Added Icon 2,,967.2479188232563,-247.0689629849645,2.371869443816289,-37,7,Red,7310,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,,Left Front Fender,831,Designer Added Icon 1,,256.788,370.26661508122754,5.756813468854083,-47,6,Red,6981,,,,,,,,,,,,,,,,,1,,
PRO MXR 70 (White) 2014,,Right Front Fender,830,Designer Added Icon 1,,256.788,370.26661508122754,5.756813468854083,47,6,Red,6981,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,,Front Hood,829,Designer Added Icon 1,,414.57599999999996,614.3085,16.474291730124797,0,5,Red,8313,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 70 (White) 2014,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
