type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
PRO MXR 90 (Black) 2014,,Right Tank,835,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Left Tank,836,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Rear Fender,834,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Right Front Fender,830,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Left Front Fender,831,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Front Hood,829,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Right Rear Fender,832,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Left Rear Fender,833,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
PRO MXR 90 (Black) 2014,,Left Rear Fender,833,Designer Added Icon 1,,454.53132411351993,146.91314586352956,11,0,5,Red,8320,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,,Right Rear Fender,832,Designer Added Icon 1,,549.65067588648,146.91314586352956,11,0,5,Red,8320,,,,,,,,,,,,,,,,,1,,
PRO MXR 90 (Black) 2014,,Rear Fender,834,Designer Added Icon 1,,284.47349999999994,135.81966077366286,7.849710271331173,0,3,Red,8314,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,,Left Tank,836,Designer Added Icon 1,,344.45031252434336,317.59782706708876,7.5218694438162705,26,5,Red,6981,,,,,,,,,,,,,,,,,1,,
PRO MXR 90 (Black) 2014,,Left Tank,836,Designer Added Icon 2,,754.8524640570213,-319.83530190919817,2.6718694438162878,45,6,Red,7310,,,,,,,,,,,,,,,,,1,,
PRO MXR 90 (Black) 2014,,Right Tank,835,Designer Added Icon 1,,1166.6276874756566,317.59782706708876,7.5218694438162705,-26,5,Red,6981,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,,Right Tank,835,Designer Added Icon 2,,756.2255359429787,-319.83530190919817,2.6718694438162878,-45,6,Red,7310,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,,Left Front Fender,831,Designer Added Icon 1,,256.788,370.26661508122754,4.1568134688540885,-36,5,Red,6981,,,,,,,,,,,,,,,,,1,,
PRO MXR 90 (Black) 2014,,Right Front Fender,830,Designer Added Icon 1,,256.788,370.26661508122754,4.1568134688540885,36,5,Red,6981,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,,Front Hood,829,Designer Added Icon 1,,414.57599999999996,614.3085,16.278542386372305,0,5,Red,8313,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO MXR 90 (Black) 2014,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
