type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
250 DVX (Black & Red) 2006-2007,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Front Hood,815,User Name,,366.54014489841194,408.6357062312639,,0,10,Black,,,,,,,,,,,,1,left,38,Bold Italic 06,1,,,,
250 DVX (Black & Red) 2006-2007,,Front Hood,815,User Number,,372.2841622689329,498.66280749205936,,0,6,Black,,,,,,,,,,,,1,left,151,Bold Italic 06,1,,,,
250 DVX (Black & Red) 2006-2007,,Front Hood,815,User Flag,,260.57263189434303,338.66691153563477,0.7999999999999999,0,9,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-45,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,45,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
250 DVX (Black & Red) 2006-2007,,Left Tank,817,Designer Added Icon 1,,1917.9846606453805,236.99860762374968,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Right Tank,816,Designer Added Icon 1,,60.95633935461956,236.99860762374968,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
250 DVX (Black & Red) 2006-2007,,Left Front Fender,819,Designer Added Icon 1,,261.21213130224515,519.1581756976731,7.551644491664589,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,,Right Front Fender,818,Designer Added Icon 1,,351.9788686977549,519.1581756976731,7.551644491664589,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
250 DVX (Black & Red) 2006-2007,,Front Hood,815,Designer Added Icon 1,,369.77987143109306,436.3232440480397,10.846264909579228,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2006-2007,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
