type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
250 DVX (Black & Red) 2008,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Front Hood,815,User Name,,374.0638907968238,374.24143926709536,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
250 DVX (Black & Red) 2008,,Front Hood,815,User Number,,387.33165406575665,484.6901365378659,,0,6,Black,,,,,,,,,,,,1,left,163,Bold Italic 06,1,,,,
250 DVX (Black & Red) 2008,,Front Hood,815,User Flag,,220.8042607170232,327.9187031093321,0.7,0,9,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
250 DVX (Black & Red) 2008,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-49,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,49,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
250 DVX (Black & Red) 2008,,Left Tank,817,Designer Added Icon 1,,1944.8980429383223,226.233254706573,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,,Right Tank,816,Designer Added Icon 1,,34.042957061677726,226.233254706573,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
250 DVX (Black & Red) 2008,,Left Front Fender,819,Designer Added Icon 1,,259.91407643940227,511.3698465206157,7.26504278044672,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,,Right Front Fender,818,Designer Added Icon 1,,353.27692356059777,511.3698465206157,7.26504278044672,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
250 DVX (Black & Red) 2008,,Front Hood,815,Designer Added Icon 1,,370.8546922737233,423.42539393647655,12.898973447547412,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 DVX (Black & Red) 2008,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
