type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
300 DVX (Black & Green) 2008,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Front Hood,815,User Name,,369.7646074263027,425.83283971334816,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
300 DVX (Black & Green) 2008,,Front Hood,815,User Number,,363.68559552789077,519.0844035020344,,0,6,Black,,,,,,,,,,,,1,left,153,Bold Italic 06,1,,,,
300 DVX (Black & Green) 2008,,Front Hood,815,User Flag,,274.5453028485365,354.78922417508875,0.7999999999999999,0,9,,,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX (Black & Green) 2008,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-40,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,40,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
300 DVX (Black & Green) 2008,,Left Tank,817,Designer Added Icon 1,,1951.6263885115577,223.54191647727885,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,,Right Tank,816,Designer Added Icon 1,,27.314611488442324,223.54191647727885,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
300 DVX (Black & Green) 2008,,Left Front Fender,819,Designer Added Icon 1,,244.33741808528754,530.8406694632591,7.26504278044672,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,,Right Front Fender,818,Designer Added Icon 1,,368.8535819147125,530.8406694632591,7.26504278044672,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
300 DVX (Black & Green) 2008,,Front Hood,815,Designer Added Icon 1,,362.25612553268115,428.7994981496279,10.159720063747194,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX (Black & Green) 2008,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
