type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
300 DVX 2x4 (Black & White) 2009-2010,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Front Hood,815,User Name,,376.2135324820843,431.2069439264995,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Front Hood,815,User Number,,371.2093414263027,523.3836868725555,,0,6,Black,,,,,,,,,,,,1,left,159,Bold Italic 06,1,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Front Hood,815,User Flag,,282.06904874694834,361.23814923087036,0.7,0,9,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-43,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,43,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Black & White) 2009-2010,,Left Tank,817,Designer Added Icon 1,,1923.367337103969,249.10962965557343,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Right Tank,816,Designer Added Icon 1,,55.57366289603101,249.10962965557343,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Black & White) 2009-2010,,Left Front Fender,819,Designer Added Icon 1,,270.29851534214544,506.1776270692441,6.889464211968,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,,Right Front Fender,818,Designer Added Icon 1,,342.8924846578546,506.1776270692441,6.889464211968,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Black & White) 2009-2010,,Front Hood,815,Designer Added Icon 1,,366.55540890320225,448.14627331697267,9.285952282624,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Black & White) 2009-2010,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
