type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
300 DVX 2x4 (Green) 2014,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Front Hood,815,User Name,,388.0365617510172,426.90766055597834,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
300 DVX 2x4 (Green) 2014,,Front Hood,815,User Number,,380.882729009975,511.56065760362253,,0,6,Black,,,,,,,,,,,,1,left,155,Bold Italic 06,1,,,,
300 DVX 2x4 (Green) 2014,,Front Hood,815,User Flag,,271.3208403206457,350.48994080456765,0.7,0,9,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-40,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,40,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Green) 2014,,Left Tank,817,Designer Added Icon 1,,1928.7500135625573,226.233254706573,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Right Tank,816,Designer Added Icon 1,,50.19098643744269,226.233254706573,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Green) 2014,,Left Front Fender,819,Designer Added Icon 1,,239.14519863391598,529.5426146004162,7.451644491664589,0,6,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,,Right Front Fender,818,Designer Added Icon 1,,374.04580136608405,529.5426146004162,7.451644491664589,0,6,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Green) 2014,,Front Hood,815,Designer Added Icon 1,,367.6302297458325,424.5002147791068,10.136011094440182,0,12,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Green) 2014,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
