type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
300 DVX 2x4 (Orange) 2012-2013,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Front Hood,815,User Name,,382.6624575378659,437.6558689822811,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
300 DVX 2x4 (Orange) 2012-2013,,Front Hood,815,User Number,,374.4338039541935,512.6354784462528,,0,6,Black,,,,,,,,,,,,1,left,155,Bold Italic 06,1,,,,
300 DVX 2x4 (Orange) 2012-2013,,Front Hood,815,User Flag,,270.24601947801546,358.01368670297956,0.7,0,9,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-44,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,44,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Orange) 2012-2013,,Left Tank,817,Designer Added Icon 1,,1926.0586753332632,204.7025488722197,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Right Tank,816,Designer Added Icon 1,,52.88232466673685,204.7025488722197,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Orange) 2012-2013,,Left Front Fender,819,Designer Added Icon 1,,270.29851534214544,521.7542854233589,7.26504278044672,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,,Right Front Fender,818,Designer Added Icon 1,,342.8924846578546,521.7542854233589,7.26504278044672,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
300 DVX 2x4 (Orange) 2012-2013,,Front Hood,815,Designer Added Icon 1,,371.9295131163536,425.5750356217371,10.03552598888612,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 DVX 2x4 (Orange) 2012-2013,X,Left Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
