type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
400 DVX (Green) 2004-2005,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Front Hood,815,User Name,,371.9142491115632,432.2817647691297,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
400 DVX (Green) 2004-2005,,Front Hood,815,User Number,,371.2093414263026,537.356357826749,,0,6,Black,,,,,,,,,,,,1,left,155,Bold Italic 06,1,,,,
400 DVX (Green) 2004-2005,,Front Hood,815,User Flag,,286.3683321174694,364.4626117587611,0.7999999999999999,0,9,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Green) 2004-2005,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-48,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,48,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
400 DVX (Green) 2004-2005,,Left Tank,817,Designer Added Icon 1,,1954.3177267408519,223.54191647727885,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,,Right Tank,816,Designer Added Icon 1,,24.623273259148164,223.54191647727885,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
400 DVX (Green) 2004-2005,,Left Front Fender,819,Designer Added Icon 1,,236.5490889082302,484.11069440091495,7.551644491664589,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,,Right Front Fender,818,Designer Added Icon 1,,376.6419110917698,484.11069440091495,7.551644491664589,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
400 DVX (Green) 2004-2005,,Front Hood,815,Designer Added Icon 1,,370.8546922737233,436.3232440480397,9.785952282623999,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Green) 2004-2005,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
