type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
400 DVX Tony Stewart Edition 2006-2007,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Front Hood,815,User Name,,381.58763669523563,426.9076605559784,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
400 DVX Tony Stewart Edition 2006-2007,,Front Hood,815,User Number,,376.583445639454,520.1592243446647,,0,6,Black,,,,,,,,,,,,1,left,180,Bold Italic 06,1,,,,
400 DVX Tony Stewart Edition 2006-2007,,Front Hood,815,User Flag,,273.47048200590626,358.01368670297956,0.7999999999999999,0,9,,,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-48,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,48,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
400 DVX Tony Stewart Edition 2006-2007,,Left Tank,817,Designer Added Icon 1,,1908.564976842851,216.81357090404344,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Right Tank,816,Designer Added Icon 1,,70.37602315714912,216.81357090404344,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
400 DVX Tony Stewart Edition 2006-2007,,Left Front Fender,819,Designer Added Icon 1,,258.6160215765594,530.8406694632591,6.9894642119679995,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,,Right Front Fender,818,Designer Added Icon 1,,354.57497842344065,530.8406694632591,6.9894642119679995,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
400 DVX Tony Stewart Edition 2006-2007,,Front Hood,815,Designer Added Icon 1,,371.9295131163536,429.8743189922581,10.03552598888612,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX Tony Stewart Edition 2006-2007,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
