type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 650 2004,,Right Tank,1271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Left Tank,1272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Right Front Fender,1025,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Left Front Fender,1026,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Rear Facing Right Front Fender,1267,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Rear Facing Left Front Fender,1266,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Front Hood,793,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Right Side Cover,795,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Left Side Cover,794,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Right Rear Fender,1028,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Left Rear Fender,1029,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2004,,Left Rear Fender,1029,Designer Added Icon 1,,860.6912623757584,239.6674836649641,19,0,5,Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 650 2004,,Right Rear Fender,1028,Designer Added Icon 1,,992.9107376242417,239.6674836649641,19,0,5,Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 650 2004,,Left Side Cover,794,Designer Added Icon 1,,940.9606321044356,-197.83288540647519,16,0,5,Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 650 2004,,Left Side Cover,794,User Number,,1045.825934784212,308.76991486343036,,0,6,White,,,,,,,,,,,,1,left,270,Bold Italic 11,1,,,,
DS 650 2004,,Right Side Cover,795,Designer Added Icon 1,,589.8853678955644,-197.83288540647519,16,0,5,Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 650 2004,,Right Side Cover,795,User Number,,485.020065215788,308.76991486343036,,0,6,White,,,,,,,,,,,,1,left,270,Bold Italic 11,1,,,,
DS 650 2004,,Left Tank,1272,Designer Added Icon 1,,554.8559055692228,585.7130191865921,8.300190927210844,4,5,Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 650 2004,,Left Tank,1272,Designer Added Icon 2,,754.1749030629572,-351.4695747983705,3.4501909272108544,23,6,Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 650 2004,,Right Tank,1271,Designer Added Icon 1,,1424.2220944307771,585.7130191865921,8.300190927210844,-4,5,Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 650 2004,,Right Tank,1271,Designer Added Icon 2,,1224.9030969370428,-351.4695747983705,3.4501909272108544,-23,6,Yellow,7310,,,,,,,,,,,,,,,,,,,
DS 650 2004,,Left Front Fender,1026,Designer Added Icon 1,,254.291782143214,541.3593842377396,6.870814728226308,92,5,Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 650 2004,,Right Front Fender,1025,Designer Added Icon 1,,247.12021785678598,541.3593842377396,6.870814728226308,-92,5,Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 650 2004,,Front Hood,793,Designer Added Icon 1,,640.0183086752603,683.5777852746014,20.1,0,5,Yellow,8313,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 2004,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
