type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 650 Baja 2002,,Right Tank,1271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Left Tank,1272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Right Front Fender,1025,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Left Front Fender,1026,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Rear Facing Right Front Fender,1267,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Rear Facing Left Front Fender,1266,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Front Hood,793,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Right Side Cover,795,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Left Side Cover,794,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Right Rear Fender,1028,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Left Rear Fender,1029,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 Baja 2002,,Left Rear Fender,1029,Designer Added Icon 1,,876.7723815197722,187.8505442009194,19,0,6,Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 650 Baja 2002,,Right Rear Fender,1028,Designer Added Icon 1,,976.8296184802279,187.8505442009194,19,0,6,Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 650 Baja 2002,,Left Side Cover,794,Designer Added Icon 1,,762.2465247205914,-88.53665444445475,13.5,0,5,Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 650 Baja 2002,,Left Side Cover,794,User Number,,955.7303930452491,301.38503439302355,,0,6,White,,,,,,,,,,,,1,left,270,Bold Italic 11,1,,,,
DS 650 Baja 2002,,Right Side Cover,795,Designer Added Icon 1,,768.5994752794086,-88.53665444445475,13.5,0,5,Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 650 Baja 2002,,Right Side Cover,795,User Number,,575.1156069547509,301.38503439302355,,0,6,White,,,,,,,,,,,,1,left,270,Bold Italic 11,1,,,,
DS 650 Baja 2002,,Left Tank,1272,Designer Added Icon 1,,545.2732614589472,635.5427685600257,9.050190927210854,3,5,Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 650 Baja 2002,,Left Tank,1272,Designer Added Icon 2,,696.6790384013032,-236.4778454750622,3.1001909272108557,22,6,Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 650 Baja 2002,,Right Tank,1271,Designer Added Icon 1,,1433.8047385410528,635.5427685600257,9.050190927210854,-3,5,Yellow,6981,,,,,,,,,,,,,,,,,,,
