type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 650 X 2005,,Right Tank,1271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Left Tank,1272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Right Front Fender,1025,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Left Front Fender,1026,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Rear Facing Right Front Fender,1267,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Rear Facing Left Front Fender,1266,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Front Hood,793,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Right Side Cover,795,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Left Side Cover,794,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Right Rear Fender,1028,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Left Rear Fender,1029,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 X 2005,,Left Rear Fender,1029,Designer Added Icon 1,,805.3007408797106,221.79957350494868,19,0,5,Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,,Right Rear Fender,1028,Designer Added Icon 1,,1048.3012591202896,221.79957350494868,19,0,5,Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 650 X 2005,,Left Side Cover,794,Designer Added Icon 1,,679.1860132958678,-30.75053517138496,11.6,0,5,Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,,Left Side Cover,794,User Number,,930.2628227638855,301.38503439302355,,0,6,White,,,,,,,,,,,,1,left,224,Bold Italic 11,1,,,,
DS 650 X 2005,,Right Side Cover,795,Designer Added Icon 1,,841.6522659604605,-32.41156286936318,11.6,0,5,Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 650 X 2005,,Right Side Cover,795,User Number,,593.9182891663004,299.725490786324,,0,6,White,,,,,,,,,,,,1,left,224,Bold Italic 11,1,,,,
DS 650 X 2005,,Left Tank,1272,Designer Added Icon 1,,581.6873090779948,721.7865655525069,14.9,0,5,Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 650 X 2005,,Left Tank,1272,Designer Added Icon 2,,754.1749030629572,-389.8001512394732,3.6501909272108537,19,6,Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 650 X 2005,,Right Tank,1271,Designer Added Icon 1,,1397.3906909220052,721.7865655525069,14.9,0,5,Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,,Right Tank,1271,Designer Added Icon 2,,1224.9030969370428,-389.8001512394732,3.6501909272108537,-19,6,Yellow,7310,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,,Left Front Fender,1026,Designer Added Icon 1,,290.4155289110845,541.3593842377396,7.670814728226305,-51,5,Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 650 X 2005,,Right Front Fender,1025,Designer Added Icon 1,,210.99647108891548,541.3593842377396,7.670814728226305,51,5,Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,,Front Hood,793,Designer Added Icon 1,,640.0183086752603,683.5777852746014,20.1,0,5,Yellow,8313,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 650 X 2005,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
