type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Commander 800R (Red) 2013,,Right Front Fender,1627,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Red) 2013,,Left Front Fender,1628,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Red) 2013,,Front Hood,1629,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Red) 2013,,Right Rear Fender,1630,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Red) 2013,,Left Rear Fender,1631,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Red) 2013,,Rear Panel,1632,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Red) 2013,,Left Rear Fender,1631,Designer Added Icon 1,,1514.935729616153,456.1360734394002,37,0,3,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Commander 800R (Red) 2013,,Right Rear Fender,1630,Designer Added Icon 1,,2159.591270383847,456.1360734394002,37,0,3,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Commander 800R (Red) 2013,,Left Front Fender,1628,Designer Added Icon 1,,1350.331998989861,792.9664176372706,20.311206427430953,28,3,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Commander 800R (Red) 2013,,Right Front Fender,1627,Designer Added Icon 1,,1034.7090010101392,792.9664176372706,20.311206427430953,-28,3,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Commander 800R (Red) 2013,,Front Hood,1629,Designer Added Icon 1,,2166.9101430840506,1562.4111057536873,54.1,0,4,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Commander 800R (Red) 2013,,Rear Panel,1632,Designer Added Icon 1,,1310.8181366644262,376.0648607827365,43.1,0,3,Dark Yellow,8314,,,,,,,,,,,,,,,,,,,
Commander 800R (Red) 2013,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Red) 2013,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
