type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Commander 800R (Yellow) 2011,,Front Hood,1629,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Commander 800R (Yellow) 2011,,Front Hood,1629,Designer Added Icon 1,,2150.1535328580103,1584.7532527217413,54.1,0,4,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander 800R (Yellow) 2011,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
