type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 250 2009,,Right Tank,804,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Left Tank,805,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Right Front Fender,813,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Left Front Fender,814,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Front Hood,812,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Upper Right Shroud,808,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Upper Left Shroud,809,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Right Side Cover,810,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Left Side Cover,811,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Right Rear Fender,806,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Left Rear Fender,807,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2009,,Left Rear Fender,807,Designer Added Icon 1,,408.24560673448605,166.16098548419367,13,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 250 2009,,Right Rear Fender,806,Designer Added Icon 1,,816.8423932655139,166.16098548419367,13,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 250 2009,,Left Side Cover,811,Designer Added Icon 1,,483.0679323870128,42.84237958312915,6.209860372482437,42,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 250 2009,,Left Side Cover,811,User Number,,513.5551189747182,310.8755616667058,,42,6,White,,,,,,,,,,,,1,left,166,Bold Italic 11,1,,,,
DS 250 2009,,Right Side Cover,810,Designer Added Icon 1,,378.39306761298724,42.84237958312915,6.209860372482437,-42,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 250 2009,,Right Side Cover,810,User Number,,347.9058810252818,310.8755616667058,,-42,6,White,,,,,,,,,,,,1,left,166,Bold Italic 11,1,,,,
DS 250 2009,,Left Tank,805,Designer Added Icon 1,,217.16969676370007,380.0917374157912,9,13,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 250 2009,,Left Tank,805,Designer Added Icon 2,,449.92357448494454,-151.64679624005998,1.753119003000353,32,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 250 2009,,Right Tank,804,Designer Added Icon 1,,784.4983032363,380.0917374157912,9,-13,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 250 2009,,Right Tank,804,Designer Added Icon 2,,551.7444255150555,-151.64679624005998,1.753119003000353,-32,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
