type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 250 2011-2015,,Right Tank,804,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Left Tank,805,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Right Front Fender,813,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Left Front Fender,814,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Front Hood,812,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Upper Right Shroud,808,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Upper Left Shroud,809,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Right Side Cover,810,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Left Side Cover,811,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Right Rear Fender,806,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Left Rear Fender,807,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 250 2011-2015,,Left Rear Fender,807,Designer Added Icon 1,,533.4230850456486,168.52282469761184,13,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,,Right Rear Fender,806,Designer Added Icon 1,,691.6649149543514,168.52282469761184,13,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 250 2011-2015,,Left Side Cover,811,Designer Added Icon 1,,507.2036217689462,94.9246566704592,5.809860372482438,43,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,,Left Side Cover,811,User Number,,538.961107797806,348.98454490133753,,43,6,White,,,,,,,,,,,,1,left,176,Bold Italic 11,1,,,,
DS 250 2011-2015,,Right Side Cover,810,Designer Added Icon 1,,354.2573782310538,94.9246566704592,5.809860372482438,-43,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 250 2011-2015,,Right Side Cover,810,User Number,,322.499892202194,348.98454490133753,,-43,6,White,,,,,,,,,,,,1,left,176,Bold Italic 11,1,,,,
DS 250 2011-2015,,Left Tank,805,Designer Added Icon 1,,227.5773904829427,333.73019266643763,7.403119003000334,16,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 250 2011-2015,,Left Tank,805,Designer Added Icon 2,,463.16973012761696,-194.22372509150713,1.903119003000353,35,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 250 2011-2015,,Right Tank,804,Designer Added Icon 1,,774.0906095170574,333.73019266643763,7.403119003000334,-16,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,,Right Tank,804,Designer Added Icon 2,,538.498269872383,-194.22372509150713,1.903119003000353,-35,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,,Left Front Fender,814,Designer Added Icon 1,,351.89331458384817,499.85978042741203,8,-31,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 250 2011-2015,,Right Front Fender,813,Designer Added Icon 1,,351.88568541615183,499.85978042741203,8,31,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,,Upper Left Shroud,809,Designer Added Icon 1,,1020.820066959208,514.1678890270208,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,,Upper Right Shroud,808,Designer Added Icon 1,,1084.2559330407921,514.1678890270208,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
DS 250 2011-2015,,Front Hood,812,Designer Added Icon 1,,304.25,618.5083605232596,10.97849415276987,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 250 2011-2015,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
