type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"DS 450 2008,2010-2013",,Right Tank,789,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Left Tank,790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Top Tank,1294,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Right Front Fender,1300,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Left Front Fender,1301,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Front Hood,1281,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Upper Right Shroud,781,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Upper Left Shroud,782,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Lower Right Shroud,777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Lower Left Shroud,778,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Right Side Cover,783,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Left Side Cover,784,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Right Rear Fender,1282,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Left Rear Fender,1283,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 2008,2010-2013",,Left Rear Fender,1283,Designer Added Icon 1,,832.5111354620723,393.5536785115638,19.10000000000003,-10,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Right Rear Fender,1282,Designer Added Icon 1,,825.6278645379276,393.5536785115638,19.10000000000003,10,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Left Side Cover,784,Designer Added Icon 1,,1206.0992167206118,-172.52773792282898,18.6,20,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Left Side Cover,784,User Number,,1209.8874025698503,617.3090116433943,,21,6,White,,,,,,,,,,,,1,left,280,Bold Italic 11,1,,,,
"DS 450 2008,2010-2013",,Right Side Cover,783,Designer Added Icon 1,,754.0607832793883,-172.52773792282898,18.6,-20,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Right Side Cover,783,User Number,,750.2725974301497,617.3090116433943,,-21,6,White,,,,,,,,,,,,1,left,280,Bold Italic 11,1,,,,
"DS 450 2008,2010-2013",,Left Tank,790,Designer Added Icon 1,,509.0434666996131,392.4444678485206,10.512003632478317,34,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Left Tank,790,Designer Added Icon 2,,1073.7248576770567,-152.907975760502,2.500000000000008,53,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Right Tank,789,Designer Added Icon 1,,919.0265333003869,392.4444678485206,10.512003632478317,-34,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Right Tank,789,Designer Added Icon 2,,354.3451423229433,-152.907975760502,2.500000000000008,-53,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Lower Left Shroud,778,Designer Added Icon 1,,727.7912233711996,644.8531404324556,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Lower Right Shroud,777,Designer Added Icon 1,,837.6497766288004,644.8531404324556,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Left Front Fender,1301,Designer Added Icon 1,,304.86310481358237,523.4069083951567,6.450472281577537,-38,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Right Front Fender,1300,Designer Added Icon 1,,149.14089518641765,523.4069083951567,6.450472281577537,38,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Upper Left Shroud,782,Designer Added Icon 1,,930.7970989674074,472.5558440331598,17,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",,Upper Right Shroud,781,Designer Added Icon 1,,760.2729010325926,472.5558440331598,17,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
"DS 450 2008,2010-2013",,Front Hood,1281,Designer Added Icon 1,,433.50326574043015,485.70990156291225,15.964883391367758,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 2008,2010-2013",X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
