type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 450 X mx 2009,,Right Tank,789,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Left Tank,790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Top Tank,1294,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Right Front Fender,1300,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Left Front Fender,1301,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Front Hood,1281,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Upper Right Shroud,781,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Upper Left Shroud,782,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Lower Right Shroud,777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Lower Left Shroud,778,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Right Side Cover,783,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Left Side Cover,784,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Right Rear Fender,1282,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Left Rear Fender,1283,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X mx 2009,,Left Rear Fender,1283,Designer Added Icon 1,,832.5111354620723,452.66801665486184,20.350000000000048,-13,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,,Right Rear Fender,1282,Designer Added Icon 1,,825.6278645379276,452.66801665486184,20.350000000000048,13,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 450 X mx 2009,,Left Side Cover,784,Designer Added Icon 1,,1039.4190393541187,-111.9167643350133,16.657808183540762,20,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,,Left Side Cover,784,User Number,,1190.9464733236578,617.3090116433943,,21,6,White,,,,,,,,,,,,1,left,270,Bold Italic 11,1,,,,
DS 450 X mx 2009,,Right Side Cover,783,Designer Added Icon 1,,920.7409606458814,-111.9167643350133,16.657808183540762,-20,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 450 X mx 2009,,Right Side Cover,783,User Number,,769.2135266763423,617.3090116433943,,-21,6,White,,,,,,,,,,,,1,left,270,Bold Italic 11,1,,,,
DS 450 X mx 2009,,Left Tank,790,Designer Added Icon 1,,459.3404591808161,346.88337762295674,8.412003632478287,33,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 450 X mx 2009,,Left Tank,790,Designer Added Icon 2,,1047.492714819914,-342.0555321514794,3.2120036324782983,52,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 450 X mx 2009,,Right Tank,789,Designer Added Icon 1,,968.7295408191839,346.88337762295674,8.412003632478287,-33,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,,Right Tank,789,Designer Added Icon 2,,380.57728518008594,-342.0555321514794,3.2120036324782983,-52,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,,Lower Left Shroud,778,Designer Added Icon 1,,730.9010173490127,612.2003036654191,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,,Lower Right Shroud,777,Designer Added Icon 1,,834.5399826509873,612.2003036654191,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
DS 450 X mx 2009,,Left Front Fender,1301,Designer Added Icon 1,,226.28002031946266,523.4069083951567,4.600472281577543,-39,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 450 X mx 2009,,Right Front Fender,1300,Designer Added Icon 1,,227.72397968053735,523.4069083951567,4.600472281577543,39,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,,Front Hood,1281,Designer Added Icon 1,,433.50326574043015,485.70990156291225,15.662775836200284,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 450 X mx 2009,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
