type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 450 X xc 2009,,Right Tank,789,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Left Tank,790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Top Tank,1294,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Right Front Fender,1300,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Left Front Fender,1301,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Front Hood,1281,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Upper Right Shroud,781,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Upper Left Shroud,782,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Lower Right Shroud,777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Lower Left Shroud,778,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Right Side Cover,783,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Left Side Cover,784,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Right Rear Fender,1282,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Left Rear Fender,1283,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 450 X xc 2009,,Left Rear Fender,1283,Designer Added Icon 1,,832.5111354620723,403.4060682021135,17.05,-12,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 450 X xc 2009,,Right Rear Fender,1282,Designer Added Icon 1,,825.6278645379276,403.4060682021135,17.05,12,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 450 X xc 2009,,Left Side Cover,784,Designer Added Icon 1,,1048.8895039772149,-153.5868086766366,17.407808183540773,21,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
DS 450 X xc 2009,,Left Side Cover,784,User Number,,1200.416937946754,636.2499408895867,,22,6,White,,,,,,,,,,,,1,left,300,Bold Italic 11,1,,,,
DS 450 X xc 2009,,Right Side Cover,783,Designer Added Icon 1,,911.2704960227852,-153.5868086766366,17.407808183540773,-21,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
DS 450 X xc 2009,,Right Side Cover,783,User Number,,759.7430620532461,636.2499408895867,,-22,6,White,,,,,,,,,,,,1,left,300,Bold Italic 11,1,,,,
DS 450 X xc 2009,,Left Tank,790,Designer Added Icon 1,,353.0312486545003,389.6831896530319,14.4,30,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 450 X xc 2009,,Left Tank,790,Designer Added Icon 2,,902.525609556756,-300.6363592191486,2.649999999999998,49,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 450 X xc 2009,,Right Tank,789,Designer Added Icon 1,,1075.0387513454996,389.6831896530319,14.4,-30,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 450 X xc 2009,,Right Tank,789,Designer Added Icon 2,,525.544390443244,-300.6363592191486,2.649999999999998,-49,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
DS 450 X xc 2009,,Lower Left Shroud,778,Designer Added Icon 1,,760.4440601382361,691.5000500996505,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
DS 450 X xc 2009,,Lower Right Shroud,777,Designer Added Icon 1,,804.996939861764,691.5000500996505,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
DS 450 X xc 2009,,Left Front Fender,1301,Designer Added Icon 1,,304.86310481358237,523.4069083951567,6.850472281577535,-58,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 450 X xc 2009,,Right Front Fender,1300,Designer Added Icon 1,,149.14089518641765,523.4069083951567,6.850472281577535,58,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 450 X xc 2009,,Front Hood,1281,Designer Added Icon 1,,433.50326574043015,485.70990156291225,15.45911624569608,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
