type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"DS 450 X xc 2010-2012,2014-2015",,Right Tank,789,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Tank,790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Top Tank,1294,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Right Front Fender,1300,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Front Fender,1301,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Front Hood,1281,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Upper Right Shroud,781,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Upper Left Shroud,782,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Lower Right Shroud,777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Lower Left Shroud,778,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Right Side Cover,783,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Side Cover,784,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Right Rear Fender,1282,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Rear Fender,1283,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Rear Fender,1283,Designer Added Icon 1,,832.5111354620723,432.9632372737625,18.150000000000016,-13,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Right Rear Fender,1282,Designer Added Icon 1,,825.6278645379276,432.9632372737625,18.150000000000016,13,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
"DS 450 X xc 2010-2012,2014-2015",,Left Side Cover,784,Designer Added Icon 1,,834.8570034952406,-85.39946339034393,15.107808183540742,19,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Side Cover,784,User Number,,1304.5920488008123,655.190870135779,,18,6,White,,,,,,,,,,,,1,left,310,Bold Italic 11,1,,,,
"DS 450 X xc 2010-2012,2014-2015",,Right Side Cover,783,Designer Added Icon 1,,1125.3029965047594,-85.39946339034393,15.107808183540742,-19,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
"DS 450 X xc 2010-2012,2014-2015",,Right Side Cover,783,User Number,,655.5679511991877,655.190870135779,,-18,6,White,,,,,,,,,,,,1,left,310,Bold Italic 11,1,,,,
"DS 450 X xc 2010-2012,2014-2015",,Left Tank,790,Designer Added Icon 1,,515.9466621883349,345.5027385252124,7.762003632478282,30,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
"DS 450 X xc 2010-2012,2014-2015",,Left Tank,790,Designer Added Icon 2,,978.4607599326959,-223.32056974546435,2.512003632478301,49,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
"DS 450 X xc 2010-2012,2014-2015",,Right Tank,789,Designer Added Icon 1,,912.123337811665,345.5027385252124,7.762003632478282,-30,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Right Tank,789,Designer Added Icon 2,,449.6092400673041,-223.32056974546435,2.512003632478301,-49,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Lower Left Shroud,778,Designer Added Icon 1,,780.6577209940207,466.0399867082083,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Lower Right Shroud,777,Designer Added Icon 1,,784.7832790059794,466.0399867082083,16,0,3,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
"DS 450 X xc 2010-2012,2014-2015",,Left Front Fender,1301,Designer Added Icon 1,,285.65390638168645,497.2125468971169,6.650472281577536,-59,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
"DS 450 X xc 2010-2012,2014-2015",,Right Front Fender,1300,Designer Added Icon 1,,168.35009361831357,497.2125468971169,6.650472281577536,59,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",,Front Hood,1281,Designer Added Icon 1,,433.50326574043015,485.70990156291225,15.849410726659464,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS 450 X xc 2010-2012,2014-2015",X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
