type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 90 X 2011-2015,,Right Tank,799,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Left Tank,800,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Front Plate,803,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Right Front Fender,801,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Left Front Fender,802,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Front Hood,796,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Right Rear Fender,797,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Left Rear Fender,798,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 90 X 2011-2015,,Left Rear Fender,798,Designer Added Icon 1,,745.5293731129647,595.7432574944078,20.300000000000075,-33,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,,Right Rear Fender,797,Designer Added Icon 1,,745.5316268870353,595.7432574944078,20.300000000000075,33,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 90 X 2011-2015,,Left Tank,800,Designer Added Icon 1,,211.29597670083265,210.11647048299164,5.4041278278720055,13,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 90 X 2011-2015,,Left Tank,800,Designer Added Icon 2,,359.9680414781606,-142.97968336316222,1.204127827872017,32,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
DS 90 X 2011-2015,,Right Tank,799,Designer Added Icon 1,,559.7570232991674,210.11647048299164,5.4041278278720055,-13,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,,Right Tank,799,Designer Added Icon 2,,411.0849585218394,-142.97968336316222,1.204127827872017,-32,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,,Left Front Fender,802,Designer Added Icon 1,,197.46349999999998,235.672,4.064443453918564,-32,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
DS 90 X 2011-2015,,Right Front Fender,801,Designer Added Icon 1,,198.6045,235.672,4.064443453918564,32,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,,Front Hood,796,Designer Added Icon 1,,452.5355,600.563,13.316183785551955,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,X,Front Plate,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS 90 X 2011-2015,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
