type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade 1000 2012-2015,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Front Hood,1312,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 1000 2012-2015,,Left Rear Fender,1316,Designer Added Icon 1,,1316.0375094971969,295.55621262269767,23,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,,Right Rear Fender,1315,Designer Added Icon 1,,968.1454905028031,295.55621262269767,23,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade 1000 2012-2015,,Left Side Cover,1310,Designer Added Icon 1,,1292.4198893936903,-264.78891338140846,21,8,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,,Left Side Cover,1310,User Number,,1190.9678419674324,493.11755856769514,,31,6,White,,,,,,,,,,,,1,left,263,Bold Italic 11,1,,,,
Renegade 1000 2012-2015,,Right Side Cover,1309,Designer Added Icon 1,,771.23511060631,-264.78891338140846,21,-8,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade 1000 2012-2015,,Right Side Cover,1309,User Number,,872.6871580325678,493.11755856769514,,-31,6,White,,,,,,,,,,,,1,left,263,Bold Italic 11,1,,,,
Renegade 1000 2012-2015,,Left Tank,1791,Designer Added Icon 1,,516.5145879661923,464.72735844285586,6.8,0,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 1000 2012-2015,,Left Tank,1791,Designer Added Icon 2,,615.1563412400266,-130.37508713225466,2.045205068545537,19,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
Renegade 1000 2012-2015,,Right Tank,1790,Designer Added Icon 1,,547.8144120338077,464.72735844285586,6.8,0,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,,Right Tank,1790,Designer Added Icon 2,,449.1726587599734,-130.37508713225466,2.045205068545537,-19,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,,Left Front Fender,1306,Designer Added Icon 1,,662.6280694262965,1051.1040011743098,13.088981239764088,-47,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 1000 2012-2015,,Right Front Fender,1305,Designer Added Icon 1,,382.2739305737035,1051.1040011743098,13.088981239764088,47,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,,Front Hood,1312,Designer Added Icon 1,,703.6512203103717,1055.6765,21.1,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 1000 2012-2015,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
