type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade 500 (White) 2011,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Front Hood,1312,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 (White) 2011,,Left Rear Fender,1316,Designer Added Icon 1,,1142.0925162448352,438.6755108683117,25.80000000000004,-5,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,,Right Rear Fender,1315,Designer Added Icon 1,,1142.0904837551648,438.6755108683117,25.80000000000004,5,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade 500 (White) 2011,,Left Side Cover,1310,Designer Added Icon 1,,1009.945561265678,-41.99226021001844,16.008262671342,13,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,,Left Side Cover,1310,User Number,,1131.29016701081,483.1712794082581,,27,6,White,,,,,,,,,,,,1,left,283,Bold Italic 11,1,,,,
Renegade 500 (White) 2011,,Right Side Cover,1309,Designer Added Icon 1,,1053.7094387343222,-41.99226021001844,16.008262671342,-13,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade 500 (White) 2011,,Right Side Cover,1309,User Number,,932.3648329891903,483.1712794082581,,-27,6,White,,,,,,,,,,,,1,left,283,Bold Italic 11,1,,,,
Renegade 500 (White) 2011,,Left Tank,1791,Designer Added Icon 1,,539.2780694909233,417.03244477199087,5.845205068545524,3,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 500 (White) 2011,,Left Tank,1791,Designer Added Icon 2,,663.935230221593,-162.89434645329894,2.095205068545537,22,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
Renegade 500 (White) 2011,,Right Tank,1790,Designer Added Icon 1,,525.0509305090767,417.03244477199087,5.845205068545524,-3,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,,Right Tank,1790,Designer Added Icon 2,,400.393769778407,-162.89434645329894,2.095205068545537,-22,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,,Left Front Fender,1306,Designer Added Icon 1,,487.2833367546808,1051.1040011743098,13.038981239764087,90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,,Right Front Fender,1305,Designer Added Icon 1,,557.6186632453192,1051.1040011743098,13.038981239764087,-90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 500 (White) 2011,,Front Hood,1312,Designer Added Icon 1,,703.6512203103717,1055.6765,23.200000000000003,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 (White) 2011,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
