type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade 500 2009,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Front Hood,1312,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 500 2009,,Left Rear Fender,1316,Designer Added Icon 1,,1415.1201005903142,291.152541907448,23,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,,Right Rear Fender,1315,Designer Added Icon 1,,869.0628994096858,291.152541907448,23,0,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade 500 2009,,Left Side Cover,1310,Designer Added Icon 1,,1179.0323069761077,-143.44430763627642,17.2,11,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,,Left Side Cover,1310,User Number,,1151.182725329684,483.1712794082581,,29,6,White,,,,,,,,,,,,1,left,253,Bold Italic 11,1,,,,
Renegade 500 2009,,Right Side Cover,1309,Designer Added Icon 1,,884.6226930238925,-143.44430763627642,17.2,-11,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade 500 2009,,Right Side Cover,1309,User Number,,912.4722746703162,483.1712794082581,,-29,6,White,,,,,,,,,,,,1,left,253,Bold Italic 11,1,,,,
Renegade 500 2009,,Left Tank,1791,Designer Added Icon 1,,497.00303237356565,466.8953090642588,7.2,0,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 500 2009,,Left Tank,1791,Designer Added Icon 2,,593.476835025997,-92.43595125770298,1.8452050685455368,19,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
Renegade 500 2009,,Right Tank,1790,Designer Added Icon 1,,567.3259676264342,466.8953090642588,7.2,0,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,,Right Tank,1790,Designer Added Icon 2,,470.8521649740029,-92.43595125770298,1.8452050685455368,-19,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,,Left Front Fender,1306,Designer Added Icon 1,,452.21439022035764,1051.1040011743098,13.750000000000039,90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,,Right Front Fender,1305,Designer Added Icon 1,,592.6876097796423,1051.1040011743098,13.750000000000039,-90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 500 2009,,Front Hood,1312,Designer Added Icon 1,,703.6512203103717,1055.6765,18.182657299772735,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 500 2009,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
