type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade 800R (White) 2011,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Front Hood,1312,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R (White) 2011,,Left Rear Fender,1316,Designer Added Icon 1,,1142.0925162448352,460.69386444456,24.050000000000015,-7,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade 800R (White) 2011,,Right Rear Fender,1315,Designer Added Icon 1,,1142.0904837551648,460.69386444456,24.050000000000015,7,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade 800R (White) 2011,,Left Side Cover,1310,Designer Added Icon 1,,1061.6662128947505,45.53499639302765,13.85826267134197,14,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade 800R (White) 2011,,Left Side Cover,1310,User Number,,1151.182725329684,493.11755856769514,,26,6,White,,,,,,,,,,,,1,left,283,Bold Italic 11,1,,,,
Renegade 800R (White) 2011,,Right Side Cover,1309,Designer Added Icon 1,,1001.9887871052497,45.53499639302765,13.85826267134197,-14,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
