type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade 800R 2009,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Front Hood,1312,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2009,,Left Rear Fender,1316,Designer Added Icon 1,,1318.2393448548216,374.82228549719156,23,-4,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Right Rear Fender,1315,Designer Added Icon 1,,965.9436551451784,374.82228549719156,23,4,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2009,,Left Side Cover,1310,Designer Added Icon 1,,1061.6662128947505,5.749879755279423,14.158262671341975,10,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Left Side Cover,1310,User Number,,1131.29016701081,473.225000248821,,28,6,White,,,,,,,,,,,,1,left,273,Bold Italic 11,1,,,,
Renegade 800R 2009,,Right Side Cover,1309,Designer Added Icon 1,,1001.9887871052497,5.749879755279423,14.158262671341975,-10,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2009,,Right Side Cover,1309,User Number,,932.3648329891903,473.225000248821,,-28,6,White,,,,,,,,,,,,1,left,273,Bold Italic 11,1,,,,
Renegade 800R 2009,,Left Tank,1791,Designer Added Icon 1,,539.2780694909233,422.45232132549825,5.845205068545524,2,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2009,,Left Tank,1791,Designer Added Icon 2,,636.8358474540561,-92.43595125770298,1.7952050685455367,21,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2009,,Right Tank,1790,Designer Added Icon 1,,525.0509305090767,422.45232132549825,5.845205068545524,-2,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Right Tank,1790,Designer Added Icon 2,,427.4931525459439,-92.43595125770298,1.7952050685455367,-21,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Left Front Fender,1306,Designer Added Icon 1,,522.352283289004,1051.1040011743098,11.83898123976407,90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Right Front Fender,1305,Designer Added Icon 1,,522.549716710996,1051.1040011743098,11.83898123976407,-90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2009,,Front Hood,1312,Designer Added Icon 1,,703.6512203103717,1055.6765,21.1,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Upper Left Shroud,1308,Designer Added Icon 1,,1285.2976906795748,526.2068391006809,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,,Upper Right Shroud,1307,Designer Added Icon 1,,360.7123093204252,526.2068391006809,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
