type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade 800R 2011-2015,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Front Hood,1312,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade 800R 2011-2015,,Left Rear Fender,1316,Designer Added Icon 1,,1238.9732719803278,429.86816943781236,23.1,-9,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Right Rear Fender,1315,Designer Added Icon 1,,1045.2097280196722,429.86816943781236,23.1,9,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2011-2015,,Left Side Cover,1310,Designer Added Icon 1,,992.0422587786912,55.4812755524647,12.508262671341951,12,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Left Side Cover,1310,User Number,,1151.182725329684,483.1712794082581,,30,6,White,,,,,,,,,,,,1,left,263,Bold Italic 11,1,,,,
Renegade 800R 2011-2015,,Right Side Cover,1309,Designer Added Icon 1,,1071.612741221309,55.4812755524647,12.508262671341951,-12,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2011-2015,,Right Side Cover,1309,User Number,,912.4722746703162,483.1712794082581,,-30,6,White,,,,,,,,,,,,1,left,263,Bold Italic 11,1,,,,
Renegade 800R 2011-2015,,Left Tank,1791,Designer Added Icon 1,,498.0870076842671,406.1926916649761,5.695205068545524,5,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2011-2015,,Left Tank,1791,Designer Added Icon 2,,598.8967115795044,-76.17632159718084,1.6952050685455367,24,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2011-2015,,Right Tank,1790,Designer Added Icon 1,,566.2419923157329,406.1926916649761,5.695205068545524,-5,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Right Tank,1790,Designer Added Icon 2,,465.4322884204955,-76.17632159718084,1.6952050685455367,-24,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Left Front Fender,1306,Designer Added Icon 1,,522.352283289004,1051.1040011743098,11.83898123976407,90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Right Front Fender,1305,Designer Added Icon 1,,522.549716710996,1051.1040011743098,11.83898123976407,-90,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2011-2015,,Front Hood,1312,Designer Added Icon 1,,703.6512203103717,1055.6765,18.67347228362371,0,5,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Upper Left Shroud,1308,Designer Added Icon 1,,1316.815533363207,524.1056495884387,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,,Upper Right Shroud,1307,Designer Added Icon 1,,329.1944666367931,524.1056495884387,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
Renegade 800R 2011-2015,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade 800R 2011-2015,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
