type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade X xc 1000 (Black) 2014-2015,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Left Rear Fender,1316,Designer Added Icon 1,,1142.0925162448352,504.73057159705667,32.1,-4,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade X xc 1000 (Black) 2014-2015,,Right Rear Fender,1315,Designer Added Icon 1,,1142.0904837551648,504.73057159705667,32.1,4,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
