type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade X xc 1000 2012-2013,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 1000 2012-2013,,Left Rear Fender,1316,Designer Added Icon 1,,1142.0925162448352,482.71221802080834,26.200000000000045,-9,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade X xc 1000 2012-2013,,Right Rear Fender,1315,Designer Added Icon 1,,1142.0904837551648,482.71221802080834,26.200000000000045,9,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
