type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade X xc 800R (Black) 2014-2015,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Rear Fender,1316,Designer Added Icon 1,,1142.0925162448352,548.7672787495533,32.1,-6,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Right Rear Fender,1315,Designer Added Icon 1,,1142.0904837551648,548.7672787495533,32.1,6,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R (Black) 2014-2015,,Left Side Cover,1310,Designer Added Icon 1,,1310.3231918806769,-252.853378390084,21,13,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Side Cover,1310,User Number,,1151.182725329684,483.1712794082581,,30,6,White,,,,,,,,,,,,1,left,293,Bold Italic 11,1,,,,
Renegade X xc 800R (Black) 2014-2015,,Right Side Cover,1309,Designer Added Icon 1,,753.3318081193233,-252.853378390084,21,-13,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R (Black) 2014-2015,,Right Side Cover,1309,User Number,,912.4722746703162,483.1712794082581,,-30,6,White,,,,,,,,,,,,1,left,293,Bold Italic 11,1,,,,
Renegade X xc 800R (Black) 2014-2015,,Left Tank,1791,Designer Added Icon 1,,544.6979460444306,417.03244477199087,6.345205068545522,2,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
