type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Renegade X xc 800R 2012-2015,,Right Tank,1790,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Tank,1791,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Top Tank,1311,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Right Front Fender,1305,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Front Fender,1306,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Rear Facing Right Front Fender,1313,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Rear Facing Left Front Fender,1314,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Upper Right Shroud,1307,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Upper Left Shroud,1308,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Right Side Cover,1309,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Side Cover,1310,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Right Rear Fender,1315,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Rear Fender,1316,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Rear Fender,1316,Designer Added Icon 1,,1142.0925162448352,482.71221802080834,26.100000000000044,-9,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,,Right Rear Fender,1315,Designer Added Icon 1,,1142.0904837551648,482.71221802080834,26.100000000000044,9,5,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R 2012-2015,,Left Side Cover,1310,Designer Added Icon 1,,1151.182725329684,-73.82035352021703,16.85826267134201,13,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Side Cover,1310,User Number,,1200.9141211268693,522.9563960460063,,28,6,White,,,,,,,,,,,,1,left,283,Bold Italic 11,1,,,,
Renegade X xc 800R 2012-2015,,Right Side Cover,1309,Designer Added Icon 1,,912.4722746703162,-73.82035352021703,16.85826267134201,-13,5,Dark Yellow,6984,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R 2012-2015,,Right Side Cover,1309,User Number,,862.7408788731309,522.9563960460063,,-28,6,White,,,,,,,,,,,,1,left,283,Bold Italic 11,1,,,,
Renegade X xc 800R 2012-2015,,Left Tank,1791,Designer Added Icon 1,,480.7434027130435,414.8644941505879,6.195205068545523,3,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R 2012-2015,,Left Tank,1791,Designer Added Icon 2,,582.6370819189823,-162.89434645329894,2.045205068545537,22,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R 2012-2015,,Right Tank,1790,Designer Added Icon 1,,583.5855972869565,414.8644941505879,6.195205068545523,-3,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,,Right Tank,1790,Designer Added Icon 2,,481.69191808101766,-162.89434645329894,2.045205068545537,-22,6,Dark Yellow,7310,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,,Left Front Fender,1306,Designer Added Icon 1,,469.74886348751926,1051.1040011743098,13.738981239764097,91,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,,Right Front Fender,1305,Designer Added Icon 1,,575.1531365124808,1051.1040011743098,13.738981239764097,-91,5,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R 2012-2015,,Upper Left Shroud,1308,Designer Added Icon 1,,1255.8810375081848,543.016355198618,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,,Upper Right Shroud,1307,Designer Added Icon 1,,390.1289624918152,543.016355198618,22,0,6,Dark Yellow,8441,,,,,,,,,,,,,,,,,1,,
Renegade X xc 800R 2012-2015,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade X xc 800R 2012-2015,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
