type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
eCommander 2013,,Right Front Fender,1627,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
eCommander 2013,,Left Front Fender,1628,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
eCommander 2013,,Front Hood,1629,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
eCommander 2013,,Right Rear Fender,1630,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
eCommander 2013,,Left Rear Fender,1631,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
eCommander 2013,,Rear Panel,1632,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
eCommander 2013,,Left Rear Fender,1631,Designer Added Icon 1,,1479.5152071561567,441.96786445540175,37,0,3,Dark Yellow,8320,,,,,,,,,,,,,,,,,,,
eCommander 2013,,Right Rear Fender,1630,Designer Added Icon 1,,2195.011792843843,441.96786445540175,37,0,3,Dark Yellow,8320,,,,,,,,,,,,,,,,,1,,
eCommander 2013,,Left Front Fender,1628,Designer Added Icon 1,,1365.0315402360034,881.1636651141245,24,31,3,Dark Yellow,6981,,,,,,,,,,,,,,,,,,,
eCommander 2013,,Right Front Fender,1627,Designer Added Icon 1,,1020.0094597639968,881.1636651141245,24,-31,3,Dark Yellow,6981,,,,,,,,,,,,,,,,,1,,
eCommander 2013,,Front Hood,1629,Designer Added Icon 1,,2138.982459373983,1562.4111057536873,54.1,0,4,Dark Yellow,8313,,,,,,,,,,,,,,,,,,,
eCommander 2013,,Rear Panel,1632,Designer Added Icon 1,,1310.8181366644262,376.0648607827365,37.79999999999974,0,3,Dark Yellow,8314,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Rear Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Rear Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Right Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCommander 2013,X,Left Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
