type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Blaze 440 2002,,Right Tank,755,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaze 440 2002,,Left Tank,756,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaze 440 2002,,Upper Right Shroud,757,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaze 440 2002,,Upper Left Shroud,758,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Blaze 440 2002,,Left Tank,756,Designer Added Icon 1,,493.686916469212,365.80995870086963,7.735929326268706,18,5,Red,6981,,,,,,,,,,,,,,,,,1,,
Blaze 440 2002,,Left Tank,756,Designer Added Icon 2,,771.0495538318494,-239.4762134603026,2.2859293262687252,37,6,Red,7310,,,,,,,,,,,,,,,,,1,,
Blaze 440 2002,,Right Tank,755,Designer Added Icon 1,,1004.1590835307879,365.80995870086963,7.735929326268706,-18,5,Red,6981,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,,Right Tank,755,Designer Added Icon 2,,726.7964461681506,-239.4762134603026,2.2859293262687252,-37,6,Red,7310,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,,Upper Left Shroud,758,Designer Added Icon 1,,881.2268719307202,734.5230438899158,14,0,6,Red,8441,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,,Upper Right Shroud,757,Designer Added Icon 1,,442.44112806927967,734.5230438899158,14,0,6,Red,8441,,,,,,,,,,,,,,,,,1,,
Blaze 440 2002,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze 440 2002,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
