type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Cannibal 440 2001-2002,,Right Tank,755,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 2001-2002,,Left Tank,756,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 2001-2002,,Upper Right Shroud,757,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 2001-2002,,Upper Left Shroud,758,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 2001-2002,,Left Tank,756,Designer Added Icon 1,,542.8032168355123,378.8113323272433,6.785929326268709,19,5,Red,6981,,,,,,,,,,,,,,,,,1,,
Cannibal 440 2001-2002,,Left Tank,756,Designer Added Icon 2,,836.0564219637175,-188.91531602440517,2.1859293262687256,38,6,Red,7310,,,,,,,,,,,,,,,,,1,,
Cannibal 440 2001-2002,,Right Tank,755,Designer Added Icon 1,,955.0427831644877,378.8113323272433,6.785929326268709,-19,5,Red,6981,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,,Right Tank,755,Designer Added Icon 2,,661.7895780362825,-188.91531602440517,2.1859293262687256,-38,6,Red,7310,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,,Upper Left Shroud,758,Designer Added Icon 1,,831.7312209172912,797.5175088160983,14,0,6,Red,8441,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,,Upper Right Shroud,757,Designer Added Icon 1,,491.93677908270865,797.5175088160983,14,0,6,Red,8441,,,,,,,,,,,,,,,,,1,,
Cannibal 440 2001-2002,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 2001-2002,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
