type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Cannibal 440 LE 2003,,Right Tank,755,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 LE 2003,,Left Tank,756,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 LE 2003,,Upper Right Shroud,757,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 LE 2003,,Upper Left Shroud,758,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Cannibal 440 LE 2003,,Left Tank,756,Designer Added Icon 1,,565.9167699490655,422.14924441515535,8.485929326268712,16,5,Red,6981,,,,,,,,,,,,,,,,,1,,
Cannibal 440 LE 2003,,Left Tank,756,Designer Added Icon 2,,856.2807809380765,-167.2463599804491,2.135929326268726,34,6,Red,7310,,,,,,,,,,,,,,,,,1,,
Cannibal 440 LE 2003,,Right Tank,755,Designer Added Icon 1,,931.9292300509345,422.14924441515535,8.485929326268712,-16,5,Red,6981,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,,Right Tank,755,Designer Added Icon 2,,641.5652190619235,-167.2463599804491,2.135929326268726,-34,6,Red,7310,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,,Upper Left Shroud,758,Designer Added Icon 1,,783.7354381163904,803.5169816662109,14,0,6,Red,8441,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,,Upper Right Shroud,757,Designer Added Icon 1,,539.9325618836095,803.5169816662109,14,0,6,Red,8441,,,,,,,,,,,,,,,,,1,,
Cannibal 440 LE 2003,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal 440 LE 2003,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
