type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Moto 440 2002,,Right Tank,755,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Moto 440 2002,,Left Tank,756,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Moto 440 2002,,Upper Right Shroud,757,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Moto 440 2002,,Upper Left Shroud,758,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Moto 440 2002,,Left Tank,756,Designer Added Icon 1,,554.359993392289,403.3694825103935,8.935929326268718,14,5,Red,6981,,,,,,,,,,,,,,,,,1,,
Moto 440 2002,,Left Tank,756,Designer Added Icon 2,,838.9456161029117,-226.474839833929,2.2359293262687254,33,6,Red,7310,,,,,,,,,,,,,,,,,1,,
Moto 440 2002,,Right Tank,755,Designer Added Icon 1,,943.486006607711,403.3694825103935,8.935929326268718,-14,5,Red,6981,,,,,,,,,,,,,,,,,,,
Moto 440 2002,,Right Tank,755,Designer Added Icon 2,,658.9003838970883,-226.474839833929,2.2359293262687254,-33,6,Red,7310,,,,,,,,,,,,,,,,,,,
Moto 440 2002,,Upper Left Shroud,758,Designer Added Icon 1,,797.2342520291438,767.5201445655351,14,0,6,Red,8441,,,,,,,,,,,,,,,,,,,
Moto 440 2002,,Upper Right Shroud,757,Designer Added Icon 1,,526.4337479708561,767.5201445655351,14,0,6,Red,8441,,,,,,,,,,,,,,,,,1,,
Moto 440 2002,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto 440 2002,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
