type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Speed 440 2002,,Right Tank,755,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Speed 440 2002,,Left Tank,756,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Speed 440 2002,,Upper Right Shroud,757,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Speed 440 2002,,Upper Left Shroud,758,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Speed 440 2002,,Left Tank,756,Designer Added Icon 1,,541.3586197659154,399.03569130160224,8.7,10,5,Red,6981,,,,,,,,,,,,,,,,,1,,
Speed 440 2002,,Left Tank,756,Designer Added Icon 2,,807.1644805717762,-311.7060669401561,2.5359293262687244,29,6,Red,7310,,,,,,,,,,,,,,,,,1,,
Speed 440 2002,,Right Tank,755,Designer Added Icon 1,,956.4873802340846,399.03569130160224,8.7,-10,5,Red,6981,,,,,,,,,,,,,,,,,,,
Speed 440 2002,,Right Tank,755,Designer Added Icon 2,,690.6815194282239,-311.7060669401561,2.5359293262687244,-29,6,Red,7310,,,,,,,,,,,,,,,,,,,
Speed 440 2002,,Upper Left Shroud,758,Designer Added Icon 1,,755.2379420783557,766.020276353007,14,0,6,Red,8441,,,,,,,,,,,,,,,,,,,
Speed 440 2002,,Upper Right Shroud,757,Designer Added Icon 1,,568.4300579216442,766.020276353007,14,0,6,Red,8441,,,,,,,,,,,,,,,,,1,,
Speed 440 2002,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed 440 2002,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
