type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
ECX 50 2006,,Right Tank,761,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Left Tank,762,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Right Front Fender,749,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Left Front Fender,750,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Front Hood,748,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Right Rear Fender,753,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Left Rear Fender,754,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2006,,Left Rear Fender,754,Designer Added Icon 1,,447.59048179650233,145.0289156512111,11,0,5,Light Charcoal,8320,,,,,,,,,,,,,,,,,,,
ECX 50 2006,,Right Rear Fender,753,Designer Added Icon 1,,572.1285182034977,145.0289156512111,11,0,5,Light Charcoal,8320,,,,,,,,,,,,,,,,,1,,
ECX 50 2006,,Left Tank,762,Designer Added Icon 1,,152.3208118196127,288.5918541909425,6.59392302646089,13,5,Light Charcoal,6981,,,,,,,,,,,,,,,,,1,,
ECX 50 2006,,Left Tank,762,Designer Added Icon 2,,351.51464062238887,-228.71749225208816,1.843923026460906,32,6,Light Charcoal,7310,,,,,,,,,,,,,,,,,1,,
ECX 50 2006,,Right Tank,761,Designer Added Icon 1,,877.3681881803874,288.5918541909425,6.59392302646089,-13,5,Light Charcoal,6981,,,,,,,,,,,,,,,,,,,
ECX 50 2006,,Right Tank,761,Designer Added Icon 2,,678.1743593776112,-228.71749225208816,1.843923026460906,-32,6,Light Charcoal,7310,,,,,,,,,,,,,,,,,,,
ECX 50 2006,,Left Front Fender,750,Designer Added Icon 1,,221.63193607375345,426.8534712587643,4.643585148279014,134,6,Light Charcoal,6981,,,,,,,,,,,,,,,,,1,,
ECX 50 2006,,Right Front Fender,749,Designer Added Icon 1,,299.81706392624653,426.8534712587643,4.643585148279014,-134,6,Light Charcoal,6981,,,,,,,,,,,,,,,,,,,
ECX 50 2006,,Front Hood,748,Designer Added Icon 1,,337.70524527546564,430.1607242055217,11.299101766603982,0,5,Light Charcoal,8313,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
