type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
ECX 50 2007-2009,,Right Tank,761,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Left Tank,762,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Right Front Fender,749,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Left Front Fender,750,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Front Hood,748,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Right Rear Fender,753,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Left Rear Fender,754,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 50 2007-2009,,Left Rear Fender,754,Designer Added Icon 1,,440.67137094488834,144.0404712438377,11,0,5,Light Charcoal,8320,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,,Right Rear Fender,753,Designer Added Icon 1,,579.0476290551117,144.0404712438377,11,0,5,Light Charcoal,8320,,,,,,,,,,,,,,,,,1,,
ECX 50 2007-2009,,Left Tank,762,Designer Added Icon 1,,293.04481027729537,289.58286826458817,7.793923026460885,19,5,Light Charcoal,6981,,,,,,,,,,,,,,,,,1,,
ECX 50 2007-2009,,Left Tank,762,Designer Added Icon 2,,590.3490323709912,-249.52878779864685,1.993923026460906,38,6,Light Charcoal,7310,,,,,,,,,,,,,,,,,1,,
ECX 50 2007-2009,,Right Tank,761,Designer Added Icon 1,,736.6441897227047,289.58286826458817,7.793923026460885,-19,5,Light Charcoal,6981,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,,Right Tank,761,Designer Added Icon 2,,439.3399676290089,-249.52878779864685,1.993923026460906,-38,6,Light Charcoal,7310,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,,Left Front Fender,750,Designer Added Icon 1,,223.05608654501876,401.2187627759884,6.343585148279008,134,6,Light Charcoal,6981,,,,,,,,,,,,,,,,,1,,
ECX 50 2007-2009,,Right Front Fender,749,Designer Added Icon 1,,298.3929134549812,401.2187627759884,6.343585148279008,-134,6,Light Charcoal,6981,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,,Front Hood,748,Designer Added Icon 1,,323.8614050886277,439.8514123363083,11.299101766603982,0,5,Light Charcoal,8313,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 50 2007-2009,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
