type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
ECX 80 AC 2009,,Right Tank,761,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Left Tank,762,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Right Front Fender,749,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Left Front Fender,750,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Front Hood,748,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Right Rear Fender,753,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Left Rear Fender,754,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ECX 80 AC 2009,,Left Rear Fender,754,Designer Added Icon 1,,412.006483131059,137.1213603922237,11,0,5,Light Charcoal,8320,,,,,,,,,,,,,,,,,,,
ECX 80 AC 2009,,Right Rear Fender,753,Designer Added Icon 1,,607.7125168689411,137.1213603922237,11,0,5,Light Charcoal,8320,,,,,,,,,,,,,,,,,1,,
ECX 80 AC 2009,,Left Tank,762,Designer Added Icon 1,,154.30283996690397,268.77157271802946,6.043923026460892,13,5,Light Charcoal,6981,,,,,,,,,,,,,,,,,1,,
ECX 80 AC 2009,,Left Tank,762,Designer Added Icon 2,,332.6853732231215,-271.3310974188512,1.993923026460906,32,6,Light Charcoal,7310,,,,,,,,,,,,,,,,,1,,
ECX 80 AC 2009,,Right Tank,761,Designer Added Icon 1,,875.3861600330961,268.77157271802946,6.043923026460892,-13,5,Light Charcoal,6981,,,,,,,,,,,,,,,,,,,
ECX 80 AC 2009,,Right Tank,761,Designer Added Icon 2,,697.0036267768786,-271.3310974188512,1.993923026460906,-32,6,Light Charcoal,7310,,,,,,,,,,,,,,,,,,,
ECX 80 AC 2009,,Left Front Fender,750,Designer Added Icon 1,,267.20475115424387,424.0051703162336,6.793585148279006,-40,6,Light Charcoal,6981,,,,,,,,,,,,,,,,,1,,
ECX 80 AC 2009,,Right Front Fender,749,Designer Added Icon 1,,254.2442488457561,424.0051703162336,6.793585148279006,40,6,Light Charcoal,6981,,,,,,,,,,,,,,,,,,,
ECX 80 AC 2009,,Front Hood,748,Designer Added Icon 1,,334.93647723809806,424.62318813078656,10.408682502075242,0,5,Light Charcoal,8313,,,,,,,,,,,,,,,,,,,
ECX 80 AC 2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECX 80 AC 2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
