type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DRX2 50 LTD (Black) 2014,,Right Tank,775,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Left Tank,776,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Front Plate,774,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Right Front Fender,764,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Left Front Fender,765,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Front Hood,763,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Right Rear Fender,766,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Left Rear Fender,767,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Left Rear Fender,767,Designer Added Icon 1,,279.9808095238097,93.67030235053748,7,0,5,Motocal Red,8320,,,,,,,,,,,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Right Rear Fender,766,Designer Added Icon 1,,405.53119047619026,93.67030235053748,7,0,5,Motocal Red,8320,,,,,,,,,,,,,,,,,1,,
DRX2 50 LTD (Black) 2014,,Left Tank,776,Designer Added Icon 1,,428.2700113463231,300.30986752746736,7.2,30,5,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 50 LTD (Black) 2014,,Left Tank,776,Designer Added Icon 2,,919.7060938603005,-339.35829422306284,2.9,50,6,Motocal Red,7310,,,,,,,,,,,,,,,,,1,,
DRX2 50 LTD (Black) 2014,,Right Tank,775,Designer Added Icon 1,,955.1599886536769,300.30986752746736,7.2,-30,5,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Right Tank,775,Designer Added Icon 2,,463.7239061396996,-339.35829422306284,2.9,-50,6,Motocal Red,7310,,,,,,,,,,,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Left Front Fender,765,Designer Added Icon 1,,237.9378014718551,437.7703686738416,4.2,82,6,Motocal Red,6981,,,,,,,,,,,,,,,,,1,1,
DRX2 50 LTD (Black) 2014,,Right Front Fender,764,Designer Added Icon 1,,164.1581985281449,437.7703686738416,4.2,-82,6,Motocal Red,6981,,,,,,,,,,,,,,,,,,1,
DRX2 50 LTD (Black) 2014,,Front Hood,763,Designer Added Icon 1,,239.4375,230.97649999999996,6.950743879856756,0,5,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 50 LTD (Black) 2014,,Front Plate,774,Designer Added Icon 1,,252.00099999999998,360,11.245218088389809,0,4,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 50 LTD (Black) 2014,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
