type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DRX2 50 R 2014-2015,,Right Tank,775,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Left Tank,776,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Front Plate,774,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Right Front Fender,764,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Left Front Fender,765,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Front Hood,763,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Right Rear Fender,766,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Left Rear Fender,767,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 50 R 2014-2015,,Left Rear Fender,767,Designer Added Icon 1,,331.5233659147871,91.68789633549989,7,0,5,Motocal Red,8320,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,,Right Rear Fender,766,Designer Added Icon 1,,353.9886340852128,91.68789633549989,7,0,5,Motocal Red,8320,,,,,,,,,,,,,,,,,1,,
DRX2 50 R 2014-2015,,Left Tank,776,Designer Added Icon 1,,468.33273546431036,312.32868476286353,6.5,35,5,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 50 R 2014-2015,,Left Tank,776,Designer Added Icon 2,,1105.3300489403082,-426.16086314536864,3.7,53,6,Motocal Red,7310,,,,,,,,,,,,,,,,,1,,
DRX2 50 R 2014-2015,,Right Tank,775,Designer Added Icon 1,,915.0972645356896,312.32868476286353,6.5,-35,5,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,,Right Tank,775,Designer Added Icon 2,,278.0999510596919,-426.16086314536864,3.7,-53,6,Motocal Red,7310,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,,Left Front Fender,765,Designer Added Icon 1,,230.5610728039095,442.19640587460896,5.280177221646079,-63,6,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 50 R 2014-2015,,Right Front Fender,764,Designer Added Icon 1,,171.5349271960905,442.19640587460896,5.280177221646079,63,6,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,,Front Hood,763,Designer Added Icon 1,,239.4375,230.97649999999996,6.816415568487017,0,5,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,,Front Plate,774,Designer Added Icon 1,,252.00099999999998,360,10.885694924248204,0,4,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,X,Front Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 50 R 2014-2015,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
