type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DRX2 90 LTD 2014-2015,,Right Tank,775,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Left Tank,776,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Front Plate,774,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Right Front Fender,764,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Left Front Fender,765,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Front Hood,763,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Right Rear Fender,766,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Left Rear Fender,767,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 90 LTD 2014-2015,,Left Rear Fender,767,Designer Added Icon 1,,338.13138596491245,83.75827227534951,7.67702512,0,5,Red,8320,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,,Right Rear Fender,766,Designer Added Icon 1,,347.3806140350875,83.75827227534951,7.67702512,0,5,Red,8320,,,,,,,,,,,,,,,,,1,,
DRX2 90 LTD 2014-2015,,Left Tank,776,Designer Added Icon 1,,501.7183388959664,337.70174337092215,8.1,35,5,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 90 LTD 2014-2015,,Left Tank,776,Designer Added Icon 2,,1209.493131647075,-458.21104243975844,4,54,6,Motocal Red,7310,,,,,,,,,,,,,,,,,1,,
DRX2 90 LTD 2014-2015,,Right Tank,775,Designer Added Icon 1,,881.7116611040337,337.70174337092215,8.1,-35,5,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,,Right Tank,775,Designer Added Icon 2,,173.9368683529251,-458.21104243975844,4,-54,6,Motocal Red,7310,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,,Left Front Fender,765,Designer Added Icon 1,,237.9378014718551,442.19640587460896,6.3801772216460755,-56,5,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 90 LTD 2014-2015,,Right Front Fender,764,Designer Added Icon 1,,164.1581985281449,442.19640587460896,6.3801772216460755,56,5,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,,Front Hood,763,Designer Added Icon 1,,239.4375,230.97649999999996,7.219400502596238,0,5,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,,Front Plate,774,Designer Added Icon 1,,252.00099999999998,360,10.051201855468113,0,4,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 90 LTD 2014-2015,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
