type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax 250R 1987,,Right Tank,932,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Left Tank,933,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Front Hood,1358,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Upper Right Shroud,930,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Upper Left Shroud,931,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Right Side Cover,934,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Left Side Cover,935,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 250R 1987,,Left Side Cover,935,Designer Added Icon 1,,411.091545809357,42.776973232472855,8.9,-10,5,Black,6984,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,,Left Side Cover,935,User Number,,606.1747008122488,227.2192288715706,,-8,6,White,,,,,,,,,,,,-19,left,184,Bold Italic 11,1,,,,
FourTrax 250R 1987,,Right Side Cover,934,Designer Added Icon 1,,817.7137219754896,48.682419540550754,8.9,10,5,Black,6984,,,,,,,,,,,,,,,,,1,,
FourTrax 250R 1987,,Right Side Cover,934,User Number,,423.0264817595653,125.64555237263096,,8,6,White,,,,,,,,,,,,-19,left,184,Bold Italic 11,1,,,,
FourTrax 250R 1987,,Left Tank,933,Designer Added Icon 1,,464.5171543946034,108.60354245531619,1.030454030264778,56,5,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax 250R 1987,,Left Tank,933,Designer Added Icon 2,,-11.415086516953867,308.9321642675788,8.5,37,6,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax 250R 1987,,Left Tank,933,Designer Added Icon 3,,-124.32758244750188,177.80797544500692,3.8,-28,7,Black,6114,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,,Right Tank,932,Designer Added Icon 1,,459.65884560539666,108.60354245531619,1.030454030264778,-56,5,Black,7310,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,,Right Tank,932,Designer Added Icon 2,,935.591086516954,308.9321642675788,8.5,-37,6,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,,Right Tank,932,Designer Added Icon 3,,1048.503582447502,177.80797544500692,3.8,28,7,Black,6114,,,,,,,,,,,,,,,,,1,,
FourTrax 250R 1987,,Upper Left Shroud,931,Designer Added Icon 1,,881.9155469896629,425.6346311214369,13.900000000000002,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,,Upper Right Shroud,930,Designer Added Icon 1,,902.5724530103372,425.6346311214369,13.900000000000002,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
FourTrax 250R 1987,,Front Hood,1358,Designer Added Icon 1,,332.89422487303307,401.2598201772472,9.269000158843555,0,11,Black,8313,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 250R 1987,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
